TFA Replicate 1 Intensity,TFA Replicate 2 Intensity,TFA Replicate 3 Intensity,TEAA Replicate 1 Intensity,TEAA Replicate 2 Intensity,TEAA Replicate 3 Intensity,,
NA,NA,NA,5165700,5461800,6483900,,
NA,NA,NA,2367700,2759800,1625200,,
NA,NA,NA,5928500,7034400,6330600,,
NA,NA,NA,5775100,NA,NA,,
NA,NA,NA,5576400,7847900,6816800,,
NA,NA,NA,1939900,2542400,2571800,,
NA,NA,NA,16028000,18664000,16890000,,
NA,NA,NA,NA,NA,7243100,,
NA,NA,NA,2810400,9017800,NA,,
NA,8075000,NA,NA,NA,NA,,
NA,NA,NA,7851900,12326000,9959700,,
NA,NA,NA,NA,NA,101380000,,
NA,NA,10651000,NA,NA,NA,,
NA,NA,NA,NA,9013000,7794500,,
NA,NA,NA,11685000,NA,NA,,
NA,NA,NA,NA,24517000,16841000,,
NA,NA,NA,3871300,10596000,NA,,
NA,NA,3758600,NA,NA,NA,,
NA,NA,NA,2048800,4209500,2827500,,
NA,NA,NA,12997000,16037000,NA,,
NA,NA,NA,8473900,9883000,10194000,,
NA,NA,NA,4729100,6220200,6576200,,
NA,NA,17505000,NA,NA,NA,,
NA,NA,NA,NA,14217000,11622000,,
NA,NA,NA,7932400,NA,NA,,
NA,NA,NA,3862300,4727400,3424600,,
NA,NA,NA,12030000,15154000,NA,,
NA,NA,NA,6346700,6682200,6567900,,
NA,NA,NA,6923300,11340000,5824500,,
2304400,1560300,2511900,NA,NA,NA,,
NA,NA,NA,NA,53997000,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,3167000,2680400,NA,,
94357000,NA,NA,NA,NA,NA,,
NA,NA,NA,7487400,8756100,NA,,
NA,NA,NA,NA,13650000,19755000,,
NA,NA,NA,6700800,6829500,7920900,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,5649500,NA,NA,,
NA,NA,NA,NA,NA,4356000,,
NA,NA,NA,10880000,7793300,8699400,,
NA,NA,NA,30236000,49850000,32492000,,
