K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M1,K3M2,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
8.627816799,8.802325556,8.607035101,8.813410612,8.783277096,8.852195063,8.77398021,8.537916504,8.597185458,8.739509341,8.692558448,8.852347963,8.868027941,8.937964566,8.952247553,8.989998033,9.041385827,8.94606727,8.917894355,8.86752235,8.733173123,8.855602636,8.921195583,8.975182616
8.623324791,8.545516445,8.641038467,8.749283504,8.595871487,8.690112639,8.610715374,8.633508658,8.621259595,8.842113456,8.728338839,8.809475092,8.731938016,8.94003842,8.910867744,8.901863833,8.869167733,8.859125568,8.823878739,8.920362056,8.736436691,8.640197853,8.817005246,8.713156894
7.227002239,7.43596728,7.418777466,7.458376621,7.438884201,7.474789044,7.300756204,7.275964343,7.467759407,7.634322485,7.195971998,7.547583789,7.690127705,7.896127579,7.843635337,7.809318369,7.715012164,7.687613392,7.906210202,7.737457076,7.512644081,7.49581496,7.960505131,7.747056891
8.637244265,8.687712389,8.618174339,8.831235626,8.785386709,8.798375043,8.755336983,8.557590487,8.641383779,8.761615345,8.542690761,8.852377545,8.778718456,8.951087326,8.970968035,8.986863142,9.057071623,8.919409768,8.938007406,8.888552616,8.725640419,8.858397142,8.764854578,8.948823276
8.534208432,8.687712389,8.616763998,8.828868736,8.781340537,8.867830537,8.754170411,8.537898859,8.623090426,8.759088647,8.550173411,8.850545295,8.823698259,8.941873449,8.96286564,9.004045586,9.052058425,8.912085742,8.925783001,8.8738095,8.725640419,8.855588164,8.832146059,8.966623827
8.27944768,8.530974604,8.382735904,8.511946848,8.57148574,8.550684874,8.590391667,8.318277253,8.29339399,8.542379594,8.493175308,8.609527581,8.596983504,8.738380621,8.652376255,8.747671662,8.738114975,8.820749616,8.695696976,8.758004864,8.526857028,8.644054978,8.644239264,8.693508885
6.789052089,,7.058934156,,7.292126919,7.156394929,7.207978766,7.257360885,,6.677244496,6.970970292,7.024009253,,6.674991673,7.279837176,7.159082671,7.455342037,6.817556606,7.049030444,7.305851783,,7.09292699,7.086777416,7.467691629
7.852949418,7.952647181,7.874854284,7.988901051,8.035661118,8.071258442,7.745222818,7.719058832,7.8862387,8.294625039,7.819092248,7.570755422,8.091782829,8.043077251,8.23318874,8.488893767,7.56351586,8.306729395,8.147625978,8.384539728,7.838821834,8.060365108,8.41045764,7.883970245
7.490138545,8.002259054,7.814144016,7.689659219,7.821216299,7.392539639,7.238369833,7.568611695,7.447059455,7.952355714,7.959109376,,7.840504256,,7.699143402,7.991311786,8.123684075,7.79178147,7.535416877,7.70570675,7.193539778,,7.833229442,7.283421711
8.481182937,8.586402773,8.465807476,8.61883509,8.602291066,8.733829996,8.653827008,8.493182979,8.495574808,8.610141732,8.441095278,8.754483529,8.503629997,8.762932361,8.668891836,8.780299974,8.847992302,8.70362441,8.613472462,8.679201705,8.57452049,8.663003816,8.616782379,8.818407384
7.709450882,6.9787365,6.866252148,7.63093216,,,7.510413236,7.573621486,7.248075233,7.54289782,7.628392683,7.555196857,7.601168829,7.14928617,,7.651309712,7.43386618,7.291037473,7.752895015,7.552401887,7.148553953,,7.569955659,7.828764976
8.119573998,8.134809267,8.140897203,8.257436373,8.114907224,8.244511703,8.198827082,8.010407249,7.955009328,8.479653255,8.099614,8.059712151,8.428598455,8.523918408,8.657364298,8.469972796,8.377527711,8.447969374,8.494388966,8.73221189,8.286529963,8.237547396,8.485003497,8.356062454
8.541058622,8.604216488,8.479402142,8.585667368,8.557429828,8.769824528,8.546035595,8.520365677,8.614697426,8.718197228,8.539397723,8.807855862,8.513450296,8.973729541,8.940152434,8.795775611,8.71122544,8.77276423,8.705455929,8.890998357,8.772180217,8.65342546,8.758539154,8.701203142
7.566644582,7.493770568,7.47740481,7.409470065,7.383675619,7.564125183,7.580492292,7.418041576,7.361364644,7.631841732,7.38637935,7.31802717,7.56463936,,7.725091002,7.483375116,7.891464564,7.677647141,7.5995914,7.76394349,7.589977373,7.569135547,7.772260975,7.628715458
6.804291416,7.020343881,7.029036187,,7.246843656,7.719761455,7.69865616,6.990639099,6.57763528,6.998401113,7.238854717,7.575685955,7.162193129,7.030648551,7.524484071,6.957724744,8.04918794,7.258880348,7.292138127,7.027012232,7.321685884,7.196648306,7.000665595,7.301460647
