iBAQ control_1,iBAQ control_2,iBAQ control_3,iBAQ     0.1% FA_1,iBAQ       0.1% FA_2,iBAQ          0.1% FA_3,iBAQ        0.2% FA_1,iBAQ          0.2% FA_2,iBAQ            0.2% FA_3,iBAQ             0.5% FA_1,iBAQ           0.5% FA_2,iBAQ           0.5% FA_3,iBAQ 1% FA_1,iBAQ 1% FA_2,iBAQ 1% FA_3
0.026412762,0,0.01284194,0.239163012,0.493097297,0.290390044,0.041279868,0.290696326,0.067629432,0.022488534,0.044741665,0.076157732,0,0.054053972,0.134163636
1.231938528,1.032761144,1.503489184,4.968543904,6.597639632,6.338465486,7.378822177,10.0536193,8.086127683,6.072926222,10.11803171,7.324436402,2.57107662,3.309735584,2.074969697
0.01752443,0.029576048,0.037106885,0.292987121,0.313297653,0.248004876,0.16979627,0.195514818,0.202379483,0.113720351,0.132843409,0.104416799,0.104101996,0.053373268,0.068333333
0.096478187,0.056425815,0.091183996,0.248188944,0.550734184,0.206126508,0.639524271,0.29149337,0.712610574,0.324564277,0.270054142,0.265906658,0.123164573,0.207448418,0.215909091
0.004127453,0.003166467,0.004650442,0.00609537,0.005358652,0.007049012,0,0.035035142,0.018324076,0,0,0.008246701,0.004936253,0.004550493,0.005715576
0.135048303,0.141934797,0.129884857,1.187458997,0.722931247,0.863548884,1.000538967,0.84457648,0.87272852,0.21374656,0.603686429,0.384842042,0.270411431,0.209312035,0.162230303
1.28455692,1.169660679,0.972202838,6.122716757,5.557774118,5.945406723,7.222162337,7.28787769,7.912638003,2.992792557,3.813968835,2.96819724,3.591340232,3.091063109,2.936787879
0.134686378,0.129916168,0.213968365,0.729809054,0.796212433,1.017705928,1.085336495,1.051155713,0.984228211,0.347359455,0.391187366,0.453073965,0.571747967,0.450928783,0.743212121
0.03371419,0.108125083,0.150761805,0.270329063,1.101070399,0.918911984,0.827710107,0.292935295,0.755468696,0.814310051,0.935195045,0.284490688,0.748460212,0.625521873,0.724121212
0,0.010881703,0.049421959,0,0.069720049,0.054314858,0.098106428,0.136395913,0.336905986,0.040218844,0.19490379,0,0.11475117,0.128686392,0.142551515
0.033493137,0.034170592,0.123493836,0.446959704,0.60188006,0.348614319,0.83712407,0.207818274,0.155098402,0.331195125,0.364551495,0.535697806,0.30384947,0.212355539,0.270418182
2.09771987,1.772934132,2.537915794,10.16401367,10.20859064,10.36630742,14.25029643,12.66574886,13.11458548,8.316079151,8.57387105,7.669456382,4.239837398,5.211774672,5.275454545
0.042297391,0.052658949,0.068992789,0.371837989,0.197131879,0.253765717,0.311868061,0.329092095,0.37132963,0.161990565,0.083411071,0.085090854,0.146230599,0.119350154,0.138721212
1.292407918,1.135542249,0.939869737,5.371568661,5.47687663,5.647292789,5.985196364,7.043620028,7.664403758,5.817193028,4.829911364,4.987348262,3.270879527,2.843891813,3.065212121
