Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2
856790,1366900,1326200,634460,0,736750,0,4067700
1665400,1487400,2103300,2484700,0,0,1620400,2440200
1283900,1175600,2488600,2565200,0,0,2459300,1569400
227780000,229620000,0,129240,192690000,221160000,0,4020600
2124400,2224600,1950800,1058400,1298000,1639700,1063900,2951000
1730000,1297000,2396400,2659600,888630,842830,1904300,2103500
2424400,2295000,3227200,2941600,0,0,2386800,1616000
2460800,2424600,3156500,3630000,0,0,2348600,1636000
1265400,2010000,2630700,2187600,0,1293100,0,3970200
1315700,1464900,3351700,3814700,0,0,2400900,1523000
520710,537590,633110,644000,0,499900,829830,3074700
11273000,8107500,1865800,1233400,0,0,3891200,0
1248400,1196300,2145700,3414900,6230800,7141300,3885800,0
720630,1316600,901510,338540,0,627530,688770,3190800
889510,1018100,778360,0,0,0,628620,3234500
1705000,1470100,2856200,3037000,0,0,2437000,1364700
1303300,1304800,2463200,2379100,0,0,1970300,1829300
1333700,2149700,1055000,914600,0,0,1221700,2570400
772930,846000,3602700,4732600,0,506520,3791400,0
3584300,1831800,1963600,3195800,2483600,3133700,2756000,1027500
1124200,1221000,880910,0,0,0,2015200,1762500
3686100,4719700,1195900,1409600,6415300,6291900,1443300,2306000
1688300,1639900,1738400,1935100,0,1095900,1549000,2198900
1976100,2195500,1377900,1684000,3062200,3926300,2033000,1709200
24969000,25117000,0,0,49349000,32234000,0,3734600
1628500,1665500,1811200,1948900,0,0,2125800,1586100
1973200,2768200,2441700,2631600,0,0,1417100,2278300
2360000,1924600,4421200,5164600,1156400,1132600,2288600,1395400
7676700,5917400,1090000,1255000,4030500,3771300,1568100,2115100
