Intensity,Intensity 1_Bl,Intensity 2_test,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3,LFQ intensity 1_Bl,LFQ intensity 2_test,LFQ intensity 30_1,LFQ intensity 30_2,LFQ intensity 30_3,LFQ intensity 35_1,LFQ intensity 35_2,LFQ intensity 35_3,LFQ intensity 40_1,LFQ intensity 40_2,LFQ intensity 40_3,LFQ intensity 45_1,LFQ intensity 45_2,LFQ intensity 45_3
2037500000,0,9436100,10849000,50758000,38145000,212270000,98568000,149230000,257670000,168470000,161020000,424490000,260510000,196130000,0,163480,195690,308500,350870,480490,537730,577850,488080,530920,547240,1019600,649070,816760
765290000,0,151360000,9311000,44260000,27635000,105130000,48512000,69964000,66725000,60313000,50561000,63203000,36424000,31896000,0,1284500,213950,331640,409520,325410,462040,475040,244770,324420,345330,201480,201540,175200
180310000,14653,1863800,1685000,2896500,1375100,19138000,5817000,7858300,9277500,5302100,5020700,51332000,35838000,32895000,9284.2,17884,68953,8765.4,25224,44312,22794,52653,25709,12827,12860,67252,110440,153150
4525800,0,830680,0,436790,0,1562200,332890,729910,0,464250,169010,0,0,0,0,0,0,0,0,0,0,0,0,0,798.69,0,0,0
2606800,0,0,0,0,0,0,0,0,0,0,0,1828500,778300,0,0,0,0,0,0,0,0,0,0,0,0,0,2518.4,0
34217000,0,0,0,867760,0,938050,429610,770920,5120400,2628300,1312000,9961100,6769400,5420000,0,0,0,0,0,0,0,0,11193,16632,9057.6,18752,17234,19497
2578300,0,0,0,506890,516330,336350,0,291050,363730,308690,255250,0,0,0,0,0,0,0,0,0,0,0,0,0,1206.2,0,0,0
221460000,0,0,0,0,0,879940,214930,0,1675600,0,502680,102740000,60338000,55110000,0,0,0,0,0,0,0,0,27478,0,0,261490,124420,236650
19476000,0,868050,616250,1605000,919600,2806800,1254100,1317200,2177100,1846900,759740,3750300,916530,638210,0,0,0,9821.2,0,0,0,0,0,0,0,5663.3,0,0
16328000,0,1314500,0,668830,0,0,2283200,1629200,3846100,3382700,1934000,728240,541040,0,0,23115,0,0,0,0,0,0,0,0,0,0,0,0
12631000,0,0,416110,1033600,0,1420600,547780,467630,933400,499610,0,3727900,2320600,1263600,0,0,0,0,0,4616.9,0,0,3989.8,0,0,7195.5,5097.3,5074
627600,0,0,0,0,0,0,0,0,0,0,627600,0,0,0,0,0,0,0,0,0,0,0,0,0,2965.8,0,0,0
8046000,0,0,0,0,0,0,0,0,0,0,0,0,0,8046000,0,0,0,0,0,0,0,0,0,0,0,0,0,35789
5875100,0,0,0,0,0,0,0,0,0,0,0,3514000,1085900,1275200,0,0,0,0,0,0,0,0,0,0,0,0,0,5672.1
155630000,0,357950,516460,1177500,474480,24537000,8118600,9840500,40745000,25843000,18149000,15274000,3943100,6648100,0,0,17126,14990,7470.5,14064,14106,14165,80339,88286,112180,45731,11982,54730
3970500,0,0,141690,0,0,754760,212640,0,0,0,0,1737000,0,1124400,0,0,0,0,0,0,0,0,0,0,0,0,0,5001.2
69089000,0,213620,4119900,9996100,2176200,21770000,6728500,10401000,6146500,5066400,1873500,597530,0,0,0,0,75559,56605,24095,39394,30902,34172,14814,12191,8234.7,0,0,0
374020,0,374020,0,0,0,0,0,0,0,0,0,0,0,0,0,6576.7,0,0,0,0,0,0,0,0,0,0,0,0
397500,0,397500,0,0,0,0,0,0,0,0,0,0,0,0,0,6989.5,0,0,0,0,0,0,0,0,0,0,0,0
454660000,0,189820,519570,1121100,507720,4684400,1627400,2422000,59923000,33334000,26747000,142350000,90741000,90495000,0,0,5977.4,4669.1,3250.7,5920.9,4298.8,5422.5,73303,73192,92127,197470,342660,476690
9364300,0,0,0,0,0,0,0,0,0,0,0,4822600,1879400,2662200,0,0,0,0,0,0,0,0,0,0,0,9663.5,0,0
9591800,0,0,0,0,0,0,0,0,0,0,0,3754800,2705900,3131100,0,0,0,0,0,0,0,0,0,0,0,7273.9,10134,12799
33547000,0,1879700,868570,3730900,2065000,6747400,1906100,5923200,4127600,3700400,2597900,0,0,0,0,0,0,0,0,0,0,0,9349.7,0,0,0,0,0
16222000,0,0,0,0,0,0,0,0,6457000,5218300,4547200,0,0,0,0,0,0,0,0,0,0,0,0,0,21488,0,0,0
92868000,0,0,0,0,0,13678000,3569400,4524600,10433000,4863100,4727900,25126000,16246000,9701000,0,0,0,0,0,28229,18108,18745,24908,26019,23019,47447,49572,41070
102500000,0,3569100,4718200,8500800,3836800,20574000,7642900,9605400,15832000,11247000,7907700,4646600,2484400,1933900,0,20218,52170,38721,29683,59089,51457,54348,47339,47394,39006,10547,0,10010
