151002_ig_TpFL20_1_1,151002_ig_TpFL20_1_2,151002_ig_TpFL21_1_1,151002_ig_TpFL21_1_2,151002_ig_TpFL22_1_1,151002_ig_TpFL22_1_2,151002_ig_TpFL23_1_1,151002_ig_TpFL23_1_2,151002_ig_TpCL21_1_1,151002_ig_TpCL21_1_2,151002_ig_TpCL22_1_1,151002_ig_TpCL22_1_2,151002_ig_TpCL23_1_1,151002_ig_TpCL23_1_2
2956983.361,2743902.907,1916618.712,1589320.275,3410143.361,3243110.694,1517270.982,1499942.111,3920057.816,3496407.517,3671230.466,3704895.542,3860595.598,3556399.047
803687.1233,808424.4186,673864.5261,677181.6362,925544.4083,936606.651,571672.4388,581325.6928,742912.83,717543.7096,157142.0606,168392.7513,660160.9123,615936.5436
11308312.29,10518939,8288344.775,7470419.576,12938955.45,12308742.94,8150502.927,7613252.735,10268899,9644170.995,1068941.226,1133661.669,9601516.876,8817854.379
1406902.659,1292454.547,1389479.94,1231432.27,1111245.177,1092258.39,638680.3388,571378.1325,977292.6902,844099.1228,668629.5286,661456.5455,639954.4374,536462.4614
661213.9725,614514.4488,442144.4586,427988.9993,809970.6871,823646.8244,460225.6442,392600.5923,1083478.928,990717.9505,870225.6526,964486.0425,855328.769,743562.2679
527538.2732,527458.0734,348962.4991,385765.0305,644227.8694,611154.4972,324586.3711,299955.3097,530060.9168,484303.9746,63218.55128,67964.71478,351473.0803,364887.1306
760457.5802,722991.2812,537939.7627,503938.0346,780498.3919,748352.8512,476639.9327,446369.1933,631452.8844,597926.8279,111395.0162,113152.6562,574528.2249,526181.5293
434042.4506,437579.9699,327802.3036,347662.2092,348300.3205,306651.5653,346747.0107,345473.1327,262522.856,247081.1212,235323.6498,274017.6758,237655.3896,226861.3762
5217270.035,5324032.767,4613279.565,4650465.685,5314445.169,5596747.629,4358599.884,4267934.594,4120850.404,3959967.279,2281565.031,2477034.171,3885484.426,3608449.679
512756.7874,503685.9191,462593.2397,484399.0885,633791.6825,694328.9935,432230.9012,399912.4367,462273.5448,541550.1821,82514.44179,116547.0614,465407.9209,489454.6126
2487873.999,2426767.765,1942820.808,1830976.824,2398220.511,2527573.262,1506287.405,1487899,2120066.926,2064338.655,535952.6514,573678.3316,1641151.574,1636296.159
1653481.06,1580777.31,1246729.001,1155070.497,1679151.289,2051536.54,786909.5887,832529.6371,2174351.244,2128577.916,2204689.415,2412873.933,1867321.53,1861825.962
25390380.44,24166586.51,18388496.86,18691916.88,30559733.38,31154073.8,19295052.44,18342181.86,36228164.83,36041339.02,35994945.37,42705985.42,36627629.43,31954140.49
7191221.75,6673548.089,3850491.84,3333844.366,7276704.038,6958882.433,2913454.487,2506236.324,6979711.741,6391815.233,9504170.998,8689623.496,7299193.779,6321975.39
2496678.579,2227405.945,1312753.015,1193451.629,2560661.176,2316248.713,1405306.51,1211278.16,3240741.844,2995670.985,2871543.824,2641458.347,2719379.894,2511581.766
807182.8482,803089.7255,540823.4038,541129.6683,1035537.73,1012206.446,465128.688,418558.5984,715912.1637,672562.8986,116164.756,108790.9699,663601.6149,594595.2737
109985129.7,105423210.5,82081934.48,74431301.37,138343826.1,130723450,66353434.4,60796083.74,156913031.9,147813161.2,142110083.2,151309832.2,148488949.4,138210290.7
1457676.355,1313474.379,720025.9984,675712.5513,1992862.107,1730546.229,683888.6539,542396.1247,1813603.463,1654552.199,1676794.058,1636407.019,1712314.205,1550258.442
21374343.56,20404685.06,17094738.12,15188064.75,24038470.88,22962249.71,12209178.43,11034028.6,12754409.78,11994859.58,12046762.47,12214300.36,11326708.49,10854435.23
106190899.5,104785431.7,80593588.16,75351061.75,111990235.2,112039331.6,46746629.69,44793433.18,70386652,64023221.45,55037941.1,57738572.32,45140759.1,42027295.89
7294725.047,6362209.715,3774119.156,3121216.86,8662732.38,7548172.033,2239341.745,1934997.56,8237274.675,7341824.974,7187936.568,7075845.905,7690583.248,6858512.573
2127573.696,2117872.616,1425547.73,1395924.7,2871969.654,2721126.227,1608390.959,1684661.116,3960501.078,3417280.045,2601365.098,2593956.166,3543801.746,2674200.533
4288456.7,4022963.344,2869843.471,2752633.835,4308081.346,4072680.258,2163398.382,1926692.307,7034090.761,6677209.551,3469942.3,3484103.498,5382410.76,4925873.676
12093848.63,11641816.9,7734982.509,7496105.279,15707112.62,15327613.77,7181628.894,6712953.356,16774153.93,16333771.33,15541460.52,16527366.27,15438545.04,14263691.21
2729640.869,2562502.403,1785432.465,1775574.284,3096881.214,2964263.809,1706344.791,1634630.545,3429834.708,3346025.175,3561247.808,3841140.75,3338398.339,3351699.878
1618055.997,1332350.453,599040.5713,513398.3716,1963433.314,1618157.321,436326.0381,401599.1146,1550901.152,1261969.693,1699062.028,1580205.326,1513365.027,1238191.024
475390.4285,451904.0313,336547.5818,370097.8155,474793.9218,519632.3056,364287.8944,331500.4009,431421.7705,422045.2751,118082.8776,118289.5371,353690.6307,339927.1813
1737359.884,1673836.204,1016224.931,1108110.884,1814189.974,1876749.623,1145325.285,1040091.916,2399471.667,2187047.135,2057887.089,2547206.209,2043216.172,1816810.982
20184785.45,18916922.16,15608227.05,14868764.93,27160125.9,25576421.58,18779440.73,17567299.44,16078168.28,15088643.12,3286170.763,3385166.442,25155217.85,22459622.83
436490.4463,447054.7923,409738.3108,419941.4986,480997.0848,527538.5524,374099.8948,374298.4822,427058.4773,387312.329,122723.4759,163336.5514,408604.084,375090.3486
337270.9593,281226.8642,172291.6485,145210.5526,418775.0909,334717.8088,127637.5977,101868.022,389653.9158,313786.2624,374340.7691,325925.4514,367653.3197,294151.6704
805788.0751,810770.7846,749787.8721,745594.8595,967790.6199,992135.596,682395.1998,648064.6376,673980.7866,641790.2438,357217.4422,419151.5947,670039.3747,640154.1349
69336757.22,69953230.03,52441185.83,54432250.97,85740614.79,88192383,44681781.33,44457707.01,93409908.33,94483622.46,91605607.48,104369806.2,101096121.1,90646841.14
16754061.08,15724146.82,10069537.7,9763739.485,18670829.22,17476227.24,8619365.026,7821285.712,12014890.21,11540879.29,5737390.45,5772059.684,9735442.546,8808862.639
301361.2086,313446.1483,247576.4768,227408.8775,418480.2783,380224.4225,192573.5053,190236.4562,257004.9704,245055.3375,159105.4573,157324.2855,182961.3615,166780.6236
670806.3046,674336.1373,550036.6218,541455.4817,752505.8543,768807.3242,630796.893,600921.0535,1050880.421,1059275.381,898851.7066,1032603.159,1094597.325,961597.9279
507511.875,423896.7584,284071.6357,243734.1132,567261.8475,487998.2885,284411.5845,274329.7324,838885.0041,652762.5979,397757.8493,383476.1267,620438.1619,601770.3769
1325080.004,1231940.795,858716.5082,817907.0807,1460963.856,1343223.801,1111969.357,930187.4361,806863.6114,758406.7289,710657.4356,746125.5632,837821.0927,894296.9676
9499403.192,9537327.381,6585542.504,6174979.329,8874743.683,8926109.111,6785943.739,6579766.726,5802028.9,5454608.365,5751583,6294553.196,4963715.733,4552099.523
774020.0477,771774.8528,612177.3963,619886.2938,749498.2725,782559.7506,622406.3639,617294.3573,1177067.063,1107735.904,1060679.085,1188612.2,1049646.66,865811.2615
9433042.207,8892660.557,6367343.426,5907742.648,9590910.77,9009597.71,5120999.759,4386111.224,7149906.162,6587866.554,1974373.599,2007899.087,7110985.037,6357186.664
1551163.798,1452809.044,866136.835,791275.397,2060328.739,1825505.572,784709.2841,622383.7165,1936013.875,1804271.003,1784939.887,1845908.977,1734502.11,1567849.846
1116636.309,1015347.853,653080.2087,569331.6624,1419477.539,1268259.458,540078.1543,408730.4408,1420140.096,1340721.386,1117765.682,1078340.004,1426387.364,1178764.412
294502.5842,289364.0566,216346.0108,200550.7377,387362.7406,428395.925,237203.9031,204225.0119,441424.7844,407727.5477,432566.0108,431139.1132,431266.1724,372167.0477
18831742.08,17704896.88,14335186.93,13692724.03,24120834.12,22962640.04,16104317.32,14912885.59,11348340.89,10851818.01,7100956.592,7751010.56,20735862.24,18579291.38
1416854.663,1338947.852,948588.4648,913473.1028,1530216.794,1462998.992,740837.8976,749175.5284,1278537.332,1196187.967,204760.5864,226823.4906,990080.2424,996195.991
426487.3628,439819.8144,339861.218,356691.3157,422429.0899,430558.0812,347851.7409,355470.6463,337779.5447,361036.4032,173574.4502,184720.5249,337233.2819,318186.368
3602700.314,3475238.419,3042637.045,2966417.043,4632301.631,4718026.062,1975723.448,1923290.224,4893373.78,4609153.839,5117677.386,5717268.106,4480999.132,4010452.292
1773964.085,1817008.537,1133502.556,1145589.785,1663126.477,1739252.26,1155895.478,1076085.47,1177570.282,1166145.787,821545.1193,867884.4704,1019461.491,1004308.756
1283411.4,1294054.362,945991.4146,912588.3434,1587014.763,1587883.334,841829.203,811166.5257,1215540.929,1191379.057,411365.8584,485457.9413,816138.6892,811009.745
22586832.39,20897999.84,15362122.16,14561242.22,23638609.37,22072151.91,12297965.02,11672649.73,19149862.3,17117804.54,4339115.091,4545302.137,17274136.04,14684904.08
914741.0418,960507.0913,850509.4394,817472.6998,1559534.215,1659232.76,673707.5876,709266.3382,823615.7533,821499.371,444123.243,504494.8566,828174.9137,842742.0072
3608883.049,3136952.62,2077694.03,1830477.254,4552750.22,4103832.769,2228349.873,1939417.135,5069995.564,4061460,4703839.192,4183902.738,4111574.585,3357978.114
11117298.06,10494491.69,8322829.284,7437616.046,12351236.82,11740541.43,7184323.639,6625105.192,7892695.005,7442810.775,4237652.71,4599450.791,8460874.689,7539058.506
595743.5511,558731.1635,400742.4141,326398.9282,729704.2099,608848.5497,391698.5877,351377.809,779079.3252,754467.6757,690633.825,699211.0937,780079.5716,675255.2976
800252.401,838586.2633,722774.3412,769446.1778,957994.6279,1007301.086,763069.6079,677741.0155,628153.5314,622486.7574,512984.0863,573397.4436,634945.9788,575051.8004
6495898.014,6545182.708,5018462.903,5284201.599,7029078.122,7377921.983,3732800.941,3393729.319,4653544.71,4606786.011,3790452.903,4128752.573,3262730.497,3012207.195
