Intensity IN_1,Intensity IN_2,Intensity IN_3,Intensity IN_5,Intensity IN_6,Intensity PD_1,Intensity PD_2,Intensity PD_3,Intensity PD_5,Intensity PD_6
0,47944000,17892000,7847100,164370000,0,0,0,0,0
129810000,539890000,504320000,38031000,393520000,0,0,0,0,0
358390000,197530000,213100000,77538000,310440000,0,0,0,0,0
56659000,47230000,46490000,20333000,37600000,0,0,0,0,0
157390000,154840000,246820000,76493000,338790000,58296000,20382000,27617000,1383400,23148000
1134600000,506260000,651670000,499350000,1129300000,6173800,1909100,8033500,0,2171600
4227300,0,3213500,0,0,0,0,0,0,0
851970000,551320000,948690000,362900000,701630000,13775000,1341500,6866200,0,4679800
84818000,66477000,81414000,47885000,107200000,0,0,0,0,0
28989000,24878000,30698000,13530000,64203000,3858000,2510600,6894300,0,3727600
365220000,273930000,582510000,162350000,416190000,0,0,0,0,0
815590000,686030000,675780000,344340000,952180000,128910000,15083000,18503000,5140200,11827000
1141600000,448740000,104480000,644810000,48280000,0,0,0,0,0
851040000,1167100000,838510000,704870000,1083900000,0,0,0,0,0
277120000,135060000,298780000,169780000,253010000,0,0,0,0,0
312750000,63542000,300490000,123980000,251720000,8506500,2320800,2422100,0,1894600
138810000,118020000,273710000,95474000,160490000,0,0,0,0,0
318580000,299390000,664840000,141320000,257640000,2849700,1739000,1890500,56996,347960
26283000,19717000,13735000,6205200,0,0,0,0,0,0
104990000,51540000,67204000,51448000,138520000,0,0,0,0,0
3194100000,2135000000,4887000000,1646000000,3402100000,0,1252700,2364200,550960,31699000
308000000,274830000,268260000,197950000,307960000,0,0,0,0,0
589210000,358660000,699320000,204920000,467260000,0,0,0,0,0
138840000,90097000,113170000,43776000,103020000,79473000,30975000,75058000,7159600,59384000
0,0,31306000,0,0,0,0,0,0,0
59302000,44268000,52642000,40475000,78069000,0,0,0,0,0
686610000,671930000,855060000,336410000,650240000,9638800,145460000,3758600,2183500,2451400
