Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
1088900,106190,349330,0,40905,0,0,45306,0,0,222270,219850,105040
151690,0,0,0,0,0,0,89875,61817,0,0,0,0
2070800,240130,148510,128650,131510,84726,0,113760,98073,75695,431680,400030,217990
2319200,253290,0,0,155920,341390,0,0,185770,0,742210,640580,0
2933600,0,109550,0,0,122920,181420,277870,486150,292040,613110,392330,458200
0,0,0,0,0,0,0,0,0,0,0,0,0
3874000,532700,513600,460070,71880,259550,208340,234800,353030,387600,613510,80074,158810
3125100,279900,1440800,0,54688,404620,0,458180,133910,0,352940,0,0
1891500,90671,90392,0,205240,178510,236180,374210,473730,0,80110,78848,83620
934280,585680,43466,0,86038,0,0,158350,0,0,60733,0,0
6211400,418440,667020,383750,426400,249800,401320,312550,1596700,787970,403700,250790,312920
128330000,6057500,6426400,4853200,11992000,12678000,14130000,24782000,22729000,10279000,4842000,4383700,5172600
310240,0,0,0,242720,0,0,67524,0,0,0,0,0
2167000,132290,0,0,427390,159910,88514,945100,174220,120270,0,101030,18247
513110,0,0,0,44607,0,0,0,104530,56531,134030,0,173410
849430,0,0,0,0,0,83107,0,169350,93520,279200,0,224250
17488000,4334100,1397000,621320,2240600,1073000,541770,2753500,634500,551450,2171800,713810,455440
2730500,290640,257820,153360,231700,101980,182340,361630,232900,156220,288440,284630,188840
5593100,1046800,558720,354550,522880,557870,463660,669740,369440,241640,473240,155240,179300
1107300,311330,109260,0,142830,0,35215,0,51151,0,165180,101690,190650
264410,0,0,0,96557,0,0,108130,0,59724,0,0,0
2901100,1005200,464330,92881,0,43917,107940,172320,517920,59456,149290,55313,232600
880520,0,0,0,62688,0,0,89691,0,0,301370,205020,221750
1371800,296360,204160,0,114800,59143,122060,111310,0,0,215040,120410,128470
2180300,766540,215780,133400,26781,0,41500,179220,558260,0,104080,0,154750
1074600,0,0,0,124010,143210,127640,153980,356540,125900,0,0,43301
346400,178440,0,0,0,112310,0,0,0,55651,0,0,0
960630,0,0,93821,109150,85417,77879,289200,0,86684,159660,58828,0
1197500,177890,180260,0,97102,0,0,0,0,0,412450,0,329850
406300,0,0,0,25572,0,0,0,0,27065,90992,154720,107950
2297500,68853,135330,117700,200500,209990,176070,269760,511410,230970,134850,113450,128620
954570,50318,107900,0,0,0,56520,0,0,0,309380,206840,223620
468850,0,0,0,104460,0,0,180330,102160,0,0,0,81904
1393900,0,201270,192620,73341,99735,95739,0,0,49424,380650,0,301130
1331500,0,603180,59228,0,271420,0,126500,0,98934,172210,0,0
464510,43757,0,49804,0,85325,100640,0,0,85440,67240,0,32298
558950,0,0,0,100620,93079,0,175130,0,115180,47597,27336,0
0,0,0,0,0,0,0,0,0,0,0,0,0
182090,0,0,0,0,0,0,0,0,0,182090,0,0
2603600,0,183510,0,169180,104190,0,245070,147980,117260,751260,404800,480310
34287000,0,0,5596200,2047200,0,3112000,5106600,3205400,3403800,5484400,2082700,4249000
863150,308700,107980,0,118860,0,0,262600,0,0,65014,0,0
1009600,0,0,0,0,0,0,1009600,0,0,0,0,0
936390,150940,134780,0,0,31830,0,0,0,0,247390,253310,118140
10473000,13234,377160,0,6564400,155730,829830,2410600,0,0,121950,0,0
246270,0,73223,0,0,80226,0,0,0,0,92818,0,0
674810,90781,109420,0,0,100640,67638,0,0,88884,135210,44959,37276
1008900,84014,171520,66413,0,284570,59869,0,0,136000,171740,16437,18341
10681000,508230,1684700,966010,160410,1373900,628290,1406900,518570,1220900,1397400,360450,455360
1742700,673480,207870,0,176730,171920,0,277320,0,0,235370,0,0
3958300,274990,370140,416610,39922,294890,253030,498140,353150,250720,734060,58279,414380
1961500,533210,124290,143540,69437,303710,235460,0,0,165370,257820,84491,44160
4953800,741150,924420,278630,220040,452040,231870,526560,163870,433420,748330,87423,146060
576530,0,0,0,63473,41192,0,0,0,0,291920,179950,0
