DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD,,,,,,,
1687000,638000,1509000,757000,916000,706000,844000,,,,,,,
826000,757000,751000,830000,430000,844000,1251000,,,,,,,
849000,518000,510000,512000,769000,541000,811000,,,,,,,
2296000,1924000,2148000,2326000,2054000,1876000,2703000,,,,,,,
3930000,1936000,3542000,4044000,4690000,2858000,4735000,,,,,,,
51000,45000,66000,73000,94000,93000,85000,,,,,,,
49000,63000,67000,84000,100000,107000,87000,,,,,,,
113000,118000,122000,133000,0,105000,132000,,,,,,,
199000,198000,208000,215000,166000,183000,43000,,,,,,,
7918000,5625000,6411000,7976000,8405000,7875000,8250000,,,,,,,
15842000,13437000,14544000,18899000,18625000,17989000,16924000,,,,,,,
11777000,8374000,12925000,9738000,9082000,10641000,9344000,,,,,,,
7835000,4755000,6895000,5232000,6915000,4822000,6395000,,,,,,,
9888000,3370000,7546000,4551000,5891000,4491000,4373000,,,,,,,
280000,386000,371000,615000,211000,342000,493000,,,,,,,
4908000,2587000,2764000,3099000,3013000,2199000,1883000,,,,,,,
642000,457000,536000,647000,1026000,1085000,494000,,,,,,,
3870000,3079000,3400000,4029000,5026000,3000000,4015000,,,,,,,
650000,495000,531000,569000,836000,528000,605000,,,,,,,
2541000,1896000,2030000,2384000,2548000,2083000,1724000,,,,,,,
1093000,857000,953000,1157000,792000,771000,830000,,,,,,,
54000,44000,52000,48000,73000,44000,62000,,,,,,,
1368000,1342000,1289000,1400000,1693000,1335000,1370000,,,,,,,
3722000,2907000,2911000,3114000,3177000,3177000,2791000,,,,,,,
1234000,844000,1037000,1126000,1422000,750000,727000,,,,,,,
4551000,4114000,4040000,4427000,3200000,3465000,5527000,,,,,,,
4330000,3509000,3945000,4078000,5025000,2971000,4810000,,,,,,,
1421000,1221000,1364000,1655000,1450000,863000,1135000,,,,,,,
1825000,1536000,1801000,2050000,1928000,2007000,1707000,,,,,,,
182000,125000,130000,142000,258000,152000,184000,,,,,,,
1839000,1289000,1499000,1590000,1771000,1543000,1567000,,,,,,,
3246000,3001000,3001000,3370000,2942000,2575000,2583000,,,,,,,
36080000,33730000,35963000,41875000,46298000,38065000,38496000,,,,,,,
4925000,4524000,4858000,5297000,6511000,4446000,5466000,,,,,,,
75000,198000,173000,150000,51000,226000,187000,,,,,,,
