Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
5986700,846920,542540,682820,394130,353970,413220,750040,696910,622820,0,386050,297280
15449000,1329900,915960,1009600,1107100,1025300,1175700,1890300,2042900,1881500,1029700,1138700,902160
14827000,2530800,1327700,2041200,1192600,872690,926580,1832400,1950700,0,753200,826470,573020
2278200,87355,160250,242730,86465,313220,33455,272450,275660,128060,38752,365060,274780
534290,94008,85415,84450,30855,25451,36696,52105,41350,0,24107,35731,24119
109070,0,0,0,0,0,0,109070,0,0,0,0,0
27550000,4737000,2936400,3372200,1247300,1192600,2651000,2208300,2119600,2157500,1463900,1492900,1971000
16648000,1444300,1097200,1178100,1022600,1057900,1340000,1622800,2013000,1791000,1238400,1683700,1159000
3638900,382050,432760,273530,312870,115620,0,285180,696000,583250,159860,265940,131800
2837400,439520,177690,173170,423260,157800,82699,435910,345170,250970,185380,165830,0
1410100,98345,72404,124850,66470,78697,86862,138520,126580,186200,135740,186270,109190
361020,0,22226,30118,0,22842,0,55773,54274,0,74792,100990,0
127280000,10190000,8308400,7689900,8075700,7713000,7154700,15674000,15600000,15711000,11419000,11083000,8660800
186920000,33380000,25241000,24724000,11686000,9623600,11949000,17391000,18382000,18247000,5765300,5787100,4749400
13659000,1899100,1278800,1315600,979720,695230,508640,1752500,1919600,1449600,681430,685390,493670
1920700,490920,239170,17407,66389,96482,0,31401,406860,337930,139990,0,94111
2389200,599440,269620,239780,161320,105640,76715,246970,226410,156540,139480,111350,55957
3647200,669280,765200,684130,181550,219840,268840,326060,481230,0,0,0,51028
3592800,675630,469100,425440,260020,203280,298970,376170,352630,386070,0,75484,69984
2246200,202940,157500,163520,0,87359,124170,0,178270,205850,382070,419330,325150
943730,0,0,0,261160,107800,148540,231350,100210,94670,0,0,0
1387700,0,0,0,405520,198970,0,259960,523200,0,0,0,0
1412200,328070,249140,210630,90690,85619,99235,113710,105050,112700,0,0,17318
7507100,725090,819150,829320,863400,288340,65504,724750,1351600,1060000,150970,377520,251390
2359500,512830,437480,422360,0,148270,235130,0,298840,257670,46865,0,0
1579500,187120,178250,184340,0,82137,95291,0,227450,190050,200440,130860,103570
12021000,1143000,803640,921820,833760,632890,681850,1260100,1427300,1159600,1106500,1120100,930210
24413000,3977500,2408700,2721200,1610900,1285300,1327700,2511500,2403100,2385300,1234100,1577500,970000
2775300,424240,376930,303270,207690,153800,167750,254600,320710,317260,97021,88587,63431
568690,568690,0,0,0,0,0,0,0,0,0,0,0
3169000,713370,313560,0,349170,144980,110000,517470,505090,374010,141330,0,0
6683000,844420,580630,682030,484210,432920,540080,690060,590080,676680,405150,377950,378840
945310,182650,168660,124870,79093,64323,73524,87092,63339,82571,0,19190,0
1488400,267560,190200,193690,74518,65686,48207,115820,183670,126120,81385,75259,66292
1038300,469330,180920,0,137530,0,0,169290,0,0,81197,0,0
1686000,197850,182590,105830,188670,123300,55226,137980,309920,214990,0,119310,50313
3412000,484830,281730,336930,211610,215770,271430,412420,421560,0,286830,298650,190230
9337100,531880,0,294340,330660,254800,0,552350,0,0,3146300,2981900,1244800
12440000,1570900,1079900,961320,629410,608130,712080,1342400,1102000,1217800,1109400,1107800,998990
3232700,338460,376780,338140,254810,147430,134670,251590,355990,384200,184220,268810,197550
31082000,3347100,2455200,2262000,2435500,1983100,2147600,3926900,4109400,3657200,2636100,0,2121500
33133000,2128200,1268700,1702700,1943900,1114100,893700,2018700,1585900,2618300,5546600,7343000,4969600
110280000,19866000,9473700,9836400,8274600,5338800,5299200,15098000,12538000,8594900,7601500,4959300,3399200
11473000,913530,755450,811840,810830,675910,785240,1726800,1721500,1357100,884250,1030100,0
3639100,475820,215050,197760,231960,160320,198140,264860,258410,273420,588290,456680,318350
1259500,204630,146350,147560,94714,61601,109040,101360,137600,147850,36916,35317,36594
376880,0,0,43245,0,0,0,0,0,95735,237900,0,0
2633900,317470,267220,264140,212040,157130,318340,268760,297420,292020,77626,76779,84921
1352700,373690,226530,0,149880,111830,0,176980,220090,0,93702,0,0
5377900,661880,424090,472970,341090,218880,302780,564840,579940,477950,479930,448250,405320
10925000,2503400,638380,316100,1025300,479970,0,944930,1864800,1811200,977820,363190,0
1584300,291220,158520,204410,156100,116630,103540,164720,131610,186650,0,40393,30524
21747000,3625500,2557200,1368600,2221600,1207400,535740,2145800,3435700,2626800,784690,883860,354310
1402300,324480,147790,0,227320,88089,0,229320,218220,0,167120,0,0
19167000,2384700,1829800,4754900,1291300,1029200,0,1985000,2338600,0,1838000,0,1715700
7266700,1187100,935860,925870,457160,383390,499040,720500,669250,711860,253760,266000,256970
1206500,155290,81750,78124,83769,64821,23013,120930,217380,127950,89688,107550,56245
1572100,742040,0,0,202880,0,0,310500,316660,0,0,0,0
9349400,1132000,877530,894460,652420,514830,493690,1136400,1110400,1119200,525880,511580,380920
6895900,453320,504490,220280,830610,266000,33468,856840,1725700,942880,0,682870,379530
2980700,177210,93466,128900,504670,141240,100900,385400,394220,390980,212790,238050,212900
3292300,515930,384400,414870,295130,165210,0,452890,408660,267900,154840,232430,0
10983000,699770,431840,0,1621700,0,0,1859800,1598800,1444900,1420300,1177500,728390
393880,0,0,0,0,0,0,0,0,0,146150,131740,115990
57463000,6144000,6593400,7683300,3297000,2931900,3327300,6524800,5054500,5014500,3227900,4527500,3136800
204760000,30264000,19307000,15646000,12620000,10095000,11450000,17806000,22558000,25215000,13057000,14637000,12109000
2161800,268570,168890,178510,165820,114640,188500,267800,311780,267930,68663,75644,85038
8936100,938630,563440,782360,643750,561980,554870,688040,1173100,1135700,692870,775610,425720
2642600,337770,362760,161740,206990,203020,52471,303030,597890,416960,0,0,0
1235000,113890,95151,0,80642,59983,95071,143880,132000,132910,125160,138150,118160
2656400,0,377880,617770,298570,149190,242690,576380,214560,179340,0,0,0
480240,156070,0,0,94300,0,0,145530,0,0,84341,0,0
3844500,445890,327300,322750,184570,175400,199120,376840,414110,429490,316380,333900,318770
226530,0,0,0,0,0,0,0,226530,0,0,0,0
7126200,1093300,657360,731180,462550,407080,417950,704380,862640,745110,398710,399070,246800
4483800,382680,334430,313830,369530,224660,333500,0,449720,481090,531620,579860,482880
394580,233070,0,161510,0,0,0,0,0,0,0,0,0
537870,0,212720,288350,0,0,36800,0,0,0,0,0,0
515790,190810,308660,0,16321,0,0,0,0,0,0,0,0
4470800,639240,395610,510980,423700,239020,243890,406330,490270,645540,175360,168730,132090
45417000,13817000,11492000,10645000,1176700,1271000,1820900,1971100,1587500,1550100,0,43051,43192
2780400,406580,261460,352060,232750,0,0,402600,352660,336310,186740,124260,124990
323300,323300,0,0,0,0,0,0,0,0,0,0,0
3287700,421270,190790,176540,290580,150060,92475,367380,530110,439660,236650,239950,152260
148390,0,0,0,0,0,0,0,0,0,148390,0,0
93386,0,44355,49032,0,0,0,0,0,0,0,0,0
1241200,81991,97408,97156,78417,52882,80146,155080,81764,94835,137520,172950,111020
1657400,256640,225550,85033,121580,91066,20516,138910,276020,184280,85482,103470,68848
131320000,14115000,10290000,13151000,5897200,5476100,6826000,10474000,21197000,10293000,16275000,9448400,7875300
2991800,284140,230930,179600,237790,163060,126400,368420,446990,518110,178270,131090,127030
2458000,258860,138550,190130,323500,140090,141180,327500,275790,278940,148640,139420,95374
43899000,5835600,4099500,3351000,2590400,2174000,2600500,3616500,4964500,3810800,3809900,3684700,3361600
3060200,124130,130920,150610,343880,281970,232900,375520,442480,328650,260880,187800,200480
2868500,552840,186290,451670,187160,169070,136220,417250,420610,347410,0,0,0
11968000,977580,768530,822090,709060,655540,886870,1425900,1329500,1278200,1034300,1172500,907870
869570,141020,73008,0,60321,37158,0,0,248440,309630,0,0,0
2464300,158900,288880,466740,287780,111490,175150,409670,126530,122450,129520,114720,72475
7123200,628730,562980,475990,396740,384020,461140,677430,853980,759160,686240,632600,604220
258860,0,0,30133,0,19262,0,0,92430,86500,0,30539,0
1781300,169810,132770,175170,123640,69249,78912,187500,200430,216270,114660,158030,154900
2923200,290150,280680,268310,132410,95140,135550,209840,194380,193990,337660,432300,352840
2143000,0,0,130510,336240,0,127760,511970,0,381970,0,308460,346120
55288000,7511500,5684200,6677900,3816800,2812800,3895600,6306600,5455000,5472600,2040000,3100800,2513900
3337700,1219000,579420,0,51959,135260,0,0,668220,555470,128380,0,0
23450000,2706600,2348100,2672800,1267300,946970,1110100,2111700,2170400,1721100,2306600,2327500,1760600
384950,67665,55321,59729,53662,25329,39631,38260,0,45352,0,0,0
5183700,794810,609970,557030,356320,226580,179690,453170,792070,599680,206940,231360,176050
8254600,1092800,820620,930490,557970,479980,581210,853520,1027300,961300,326440,338830,284130
2416100,321580,250890,259630,157110,144080,159910,287570,290360,277360,97227,87572,82816
9128300,556730,666240,866840,420720,442950,779440,896650,787180,766910,790930,1241100,912630
889060,317700,0,0,184260,0,0,184470,0,0,202630,0,0
2334000,363620,280910,295680,156610,143850,129250,224290,245240,257970,78730,86691,71129
10456000,890100,636840,681370,595870,536620,569510,1261700,1171300,990940,1095300,1079500,947040
