DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM
803305000,1155481000,294623000,570223000,388954000,381980000
30558356000,19837725000,50897869000,20964509000,25885647000,17719608000
0,0,0,0,0,0
28773668000,17047945000,1.49931E+11,18097738000,19931146000,15640469000
1906220000,1781218000,5588161000,1662754000,1800026000,1202461000
218729000,305771000,200313000,264773000,163262000,251110000
0,0,0,0,0,0
0,0,0,0,0,0
2.82799E+11,2.10701E+11,1.83611E+11,1.89157E+11,2.62358E+11,1.76278E+11
153731000,129310000,128284000,139924000,169914000,99652000
0,0,0,0,0,0
229226000,214482000,125831000,85445000,556664000,145214000
35842000,91806000,69658000,82276000,96050000,54598000
2263383000,227917000,115195000,155287000,449283000,96487000
0,0,0,0,0,0
514384000,106632000,46234000,63119000,99650000,54917000
0,0,0,0,0,0
0,0,0,0,0,0
1614984000,1296717000,439408000,775594000,684939000,611467000
85803193000,60454040000,77614831000,55252391000,71268250000,48022579000
1467770000,998929000,11366777000,985488000,1123488000,865938000
749507000,440472000,2132479000,481840000,529213000,364564000
0,0,0,0,0,0
0,0,0,0,0,0
61369000,22303000,54767000,20459000,45781000,23878000
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4505142000,3487607000,3255309000,3327424000,4007861000,2577470000
7123406000,4921565000,5131775000,4826130000,5719941000,3948197000
0,0,0,0,0,0
290623000,712643000,457472000,636188000,337277000,648791000
2475895000,1705494000,2217290000,1692718000,2084416000,1391550000
0,0,0,0,0,0
4004016000,39416000,32246000,49519000,36823000,35263000
2200377000,33003000,59015000,40612000,77264000,45333000
1818107000,8182454000,8677540000,8530304000,8263138000,6899685000
956086000,494733000,372446000,361346000,1415515000,205992000
4.17731E+11,3.28488E+11,3.68106E+11,3.00694E+11,3.98731E+11,2.8284E+11
30000,366000,1757000,663000,8459000,124000
277288000,220472000,218035000,219306000,190013000,241603000
311846000,309007000,214364000,362446000,280432000,309229000
264666000,466404000,486842000,547383000,420917000,336203000
619871000,657132000,494314000,772225000,605084000,635425000
1.03714E+11,1.00631E+11,1.12161E+11,1.02909E+11,86653744000,91742942000
59459000,51486000,22369000,49741000,69218000,35200000
76929000,84689000,109601000,97927000,88141000,117005000
146341000,225897000,923329000,268203000,136858000,272478000
32993000,38839000,47623000,60460000,25801000,39819000
0,0,0,0,0,0
2013512000,1734019000,2001588000,2153435000,1876220000,2061389000
77454000,99298000,121171000,141174000,108170000,95966000
256119000,148679000,254159000,165602000,180281000,143497000
75674000,102864000,87704000,27932000,9845000,98420000
2973527000,3038624000,2958710000,1762060000,780770000,2773021000
47461000,63740000,56927000,83244000,70681000,85841000
316642000,570009000,466020000,671526000,432572000,548410000
263436000,214919000,203227000,311994000,207422000,305250000
0,0,0,0,0,0
43259000,96182000,113972000,135586000,107392000,131869000
0,0,0,0,0,0
0,23471000,23671000,22561000,29306000,10637000
0,0,0,0,0,0
0,0,0,0,0,0
258822000,162438000,152373000,252589000,247010000,184056000
32297000,40787000,40823000,41949000,30056000,39649000
58111000,61132000,55286000,68074000,46081000,60645000
127422000,139478000,114630000,147646000,159942000,141670000
115011000,200715000,95098000,235068000,181573000,116084000
