K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
8.160968,7.981093,6.673053,,,8.021764,8.068624,7.81533,7.946361,7.89926,,,,,,,,,,,7.860524,
9.304419,9.213916,8.047913,8.220519,8.130863,9.618082,8.995698,9.703661,9.22597,9.301249,8.370959,7.382329,8.388933,9.13515,8.010922,7.160101,8.500706,7.367643,8.411189,8.836387,9.022131,8.178961
8.447634,7.5393,,7.580001,,8.433997,8.060821,8.25596,8.300929,7.955884,7.724414,,,8.191201,8.381598,,8.091485,,7.92272,,7.666683,7.137451
7.766586,,,,,7.923106,,7.545931,,,,,,,,,,,,,7.79288,
7.357032,7.191339,,,,7.388711,,7.57903,,,,,7.961282,7.844367,8.630564,7.419483,7.737061,,7.915042,8.203143,7.487532,
7.138497,,,,,7.849166,,8.073701,,,,,,6.629908,,,,,,,,
8.018639,8.147661,8.214372,7.531711,,8.492726,8.454481,8.1347,8.65169,8.770462,,7.915009,8.574279,8.334192,8.274352,7.924204,8.448039,,8.760291,8.213835,8.272034,8.375519
7.472145,,,,,,,,7.343293,,,,,,,,,,,,,
7.756965,,,,,,,,,,,,,,,,,,,,,
8.13663,7.606953,,,,7.850213,8.013727,7.596827,7.396336,7.617118,,,,,,,,,,,7.8835,
7.630633,,,,,,7.180017,,7.614046,7.382065,,7.141308,,,,,,,,,,
7.21114,,,,,,,,,,,,,,,,,,,,,
9.335868,9.170198,8.047913,8.149265,8.130863,9.5729,9.001527,9.655007,9.194323,9.252339,8.399367,,8.417747,9.111558,8.058561,,8.37701,7.119144,8.300781,8.836387,9.001201,8.079007
7.61787,7.806066,,,,7.639769,,7.344664,7.521188,7.939013,,,,,7.707974,,7.209764,,7.77835,7.30266,7.490846,
7.880313,7.464788,,,,7.718466,7.461549,7.54752,7.716134,7.746218,,,,,,,7.261314,,6.957559,,7.8788,
6.897301,,,,,7.09849,,7.004245,,7.250187,,,,7.429864,,,,,7.770551,,7.626068,
8.189073,7.799687,,,,7.863308,7.662935,7.566649,8.027844,7.93781,,,,7.346994,7.582609,,7.463481,,7.504368,7.273696,8.012425,
8.197561,8.473794,8.638079,8.806604,8.067593,,7.809388,,,,,7.845109,,,,8.242097,8.608812,8.486245,8.434343,8.629825,8.251436,8.096427
7.939261,7.60311,,,,,,,7.884863,7.646302,,,7.427379,7.647962,7.950367,,7.835562,,8.035056,,7.953784,
7.354249,,7.943536,7.807918,7.473776,,,,7.531726,7.555793,,7.39979,,,,8.021987,,7.854581,7.367222,7.513089,,
7.02412,,,,,,,,,,,,,,,,,,,,,
7.468418,7.751668,,,,7.587212,,,,,,,,,,,,,,,,
7.625077,,,,,,,,,,,,,7.728029,7.857982,,,,7.545063,,7.628705,
8.479733,8.197401,8.51126,8.362452,7.82141,8.420993,7.617428,7.914717,8.577387,8.302237,7.895204,7.679831,,8.235095,8.316449,,8.356857,,8.335409,8.434442,8.180412,8.225867
,7.445186,,,,7.828654,,8.311787,6.938284,,7.159711,,,7.531393,6.890057,,,,,,,
7.936682,7.96711,7.457234,,,7.889363,8.185263,7.523205,8.313682,8.108433,,,8.101125,7.948405,8.14309,,7.963436,,8.311943,,7.553119,8.508606
7.797245,8.138972,,,,7.819702,8.156784,7.561256,7.809912,8.047381,,,8.063877,7.907999,8.06207,,8.002287,,8.308302,,,8.399929
8.834254,8.683126,,,7.455077,8.907414,8.945777,9.163923,8.890839,8.489884,,7.563464,8.22985,8.246733,8.006143,,8.084816,,8.225214,8.034692,8.479624,8.042255
8.577324,8.338437,,,7.384459,8.289721,8.253813,8.26709,8.46685,8.227912,,,,7.805136,7.67878,,7.684589,,7.706155,7.665433,8.04056,7.323732
7.194704,7.234824,,8.150648,,,7.604675,7.895061,,7.773611,,7.455702,,7.427477,7.858862,,,,,7.489588,7.967275,
7.392148,,,,,,,6.697996,,,,,,7.094996,7.105857,,,,,,7.776913,
7.841215,8.168607,7.578058,7.814267,,7.723209,,6.697996,7.84377,7.654945,,,,7.204874,7.718669,,7.903996,,7.962888,,7.954114,
7.491049,,,,,,7.005053,,,,,,,,,,,,,,,
7.056471,,,,,,,,,,,,7.015985,7.370844,7.946378,,,,,,7.347403,
7.4888,,,,,,,,,,,6.797843,,,,,,,,,,
6.850518,,,,,,,7.250077,,,,,,,,,,,,,,
7.567166,7.160942,,,,,,7.250077,,,,,,,,,,,,,7.335274,
7.109217,,,,,,,7.250077,,,,,,,,,,,,7.742175,7.764119,
7.209338,,,,,7.17014,,7.127698,,,,,,,,,,,,,,
6.826695,,,,,,,,,,,,,,,,7.619723,,,,,
8.007058,7.828971,,,,,,,,,,,,,7.81381,,,,,,8.053515,
8.089431,7.818759,7.482491,7.821754,,7.391944,8.236589,,8.179472,7.615056,,7.108288,,,,7.479927,7.692097,,7.6816,8.2403,7.683831,
7.007311,,,,,,,,6.646927,,,,,,7.272729,,,,7.544112,,7.472734,
8.011108,7.62012,,,,,7.991283,6.697996,8.060568,,,,,7.094996,7.105857,,,,,,7.784795,
7.886149,,,,,,,7.665406,,6.92556,7.254538,,,,,,,,,7.362192,,
8.054032,8.12596,,7.857065,,7.866056,,7.730246,7.651096,8.14738,,,,7.376086,7.46184,,,,,,7.766144,7.413988
6.867203,,,,,,,,,,,,,,,,,,,,,
7.166395,7.594038,,,,,,,,,,,,,,,,,,,,
7.075694,,,,,,,,,,,,,,7.837822,,7.363829,,,7.538463,,
6.661193,7.583018,,,,,,,,,7.209199,,,,,,,,,,,
7.64234,7.145207,,7.133671,,7.433401,,7.783261,,,7.794538,,,,,,6.865533,,,7.444898,7.604851,
6.850116,,,,,,,,,,,,,,,,,,,,,
7.502915,,,,,8.033215,,7.859539,7.457295,,7.773614,,,,,,,,,,,
7.689859,,,,,7.082126,,,,,,,,7.257821,,,,,,7.697373,,
7.757059,,,,,,,,,,,,,,,,7.604128,,,7.920788,,
