LFQ Intensity Lysate I,LFQ Intensity Scrambled I,LFQ Intensity Norad I,LFQ Intensity Neat I,LFQ Intensity Malat I,LFQ Intensity Lysate II,LFQ Intensity Scrambled II,LFQ Intensity Norad II,LFQ Intensity Neat II,LFQ Intensity Malat II,LFQ Intensity Lysate III,LFQ Intensity Scrambled III,LFQ Intensity Norad III,LFQ Intensity Neat III,LFQ Intensity Malat III
0,0,26736000,0,0,0,0,0,0,0,0,0,39209000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32970000,0,39459000,0,0,55066000,0,61370000,60786000,42902000,0,0,61585000,0,0
33341000,0,44315000,0,49539000,0,0,62721000,48947000,57950000,43046000,28556000,47074000,33352000,0
34685000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,38457000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,21966000,0,0,0,0,0,0,0,0,0
172330000,0,186200000,0,95411000,256110000,109210000,166780000,165620000,73769000,115320000,71765000,116620000,61775000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57223000,0,45832000,0,0,112540000,0,57921000,53368000,0,144940000,85490000,64549000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17256000,0,0,0,0,0,0,0,0,0
108280000,76833000,125560000,131740000,77064000,183480000,87664000,95592000,102750000,0,188860000,118950000,0,0,0
0,0,11596000,0,0,18098000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10315000,0,0,0
0,0,0,0,0,59238000,0,0,0,0,93928000,0,0,0,0
280270000,0,165180000,0,0,201130000,70137000,94384000,90976000,0,68176000,0,66172000,0,0
183790000,0,88792000,0,0,147830000,0,64900000,49337000,0,40796000,50007000,42347000,0,0
68942000,0,48881000,0,0,69727000,0,61015000,0,0,78798000,0,70027000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30593000,0,55504000,0,0,44288000,0,86956000,77088000,41166000,48808000,0,62030000,0,0
0,0,0,0,0,0,0,15486000,0,0,0,0,0,0,0
45720000,0,22260000,0,0,66402000,0,34120000,35147000,0,87166000,0,46724000,0,0
0,0,0,0,0,34724000,0,0,0,0,0,0,0,0,0
78282000,0,56519000,0,44505000,94028000,0,58584000,0,0,126250000,0,64153000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52101000,0,93347000,0,0,48595000,0,41407000,48270000,0,56846000,0,0,0,0
32129000,0,0,0,0,33062000,0,0,0,0,68010000,0,0,0,0
0,0,0,0,0,31430000,0,44244000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12142000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,44952000,0,66033000,53497000,0,0,0,0,0,0
0,0,25722000,0,0,45171000,0,0,0,0,0,0,0,0,0
0,16770000,0,0,0,0,0,0,0,0,0,0,0,0,0
90872000,0,88672000,0,0,70566000,136130000,165930000,105650000,73264000,72470000,0,97249000,0,0
550160000,19940000,659390000,0,67495000,825850000,78961000,650630000,640500000,69441000,440590000,0,362980000,65308000,0
0,0,0,0,0,48315000,0,0,0,0,0,0,0,0,0
272790000,0,257620000,0,11422000,326390000,0,145700000,128500000,0,412810000,0,195320000,46275000,0
45216000,0,36023000,0,0,49742000,57648000,61794000,51077000,0,62781000,0,52904000,0,0
0,0,13686000,0,17230000,0,0,0,0,0,0,0,0,0,0
11680000,57001000,103360000,12614000,52641000,14306000,73358000,4225100,0,0,0,3794400000,44781000,0,0
94307000,0,71756000,0,0,66820000,0,47710000,64551000,0,86481000,0,54575000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5607300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12325000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39979000,0,34951000,0,0,38215000,0,25676000,24536000,0,35547000,0,0,0,0
0,0,0,0,0,40930000,0,0,0,0,0,0,0,0,0
47617000,0,57912000,0,0,61564000,0,24911000,0,0,28779000,0,0,0,0
27032000,0,39495000,0,0,0,0,0,0,0,0,0,0,0,0
12603000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309310000,0,291360000,0,57072000,347450000,64914000,197080000,146230000,0,243790000,72941000,132520000,35248000,0
71336000,0,41935000,0,0,85702000,0,48217000,38553000,0,53639000,0,28307000,0,0
75574000,40721000,67608000,0,0,68163000,0,42934000,51545000,0,0,0,0,0,0
350850000,0,238620000,0,34032000,228590000,0,134640000,167410000,0,236860000,44932000,167010000,22429000,0
40456000,0,0,0,0,0,0,35764000,32877000,0,0,0,0,0,0
71566000,0,47252000,0,0,76386000,0,0,0,0,102980000,0,0,0,0
0,0,24575000,0,0,0,0,0,0,0,0,0,27015000,0,0
32294000,0,29762000,0,0,36393000,0,0,0,0,22117000,43781000,0,0,0
0,0,0,0,0,0,0,0,0,0,20754000,0,0,0,0
0,0,0,0,0,0,0,9169200,0,0,0,0,0,0,0
0,0,10587000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25293000,0,0,30551000,0,53672000,33136000,41731000,0,0,33080000,36530000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226090000,0,251050000,0,85731000,110770000,0,128950000,49361000,0,59122000,42586000,103470000,0,0
0,0,37926000,0,0,54127000,0,50452000,0,44633000,0,0,47845000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37964000,0,53729000,0,0,132690000,0,60168000,56163000,0,45335000,0,41910000,0,0
21115000,0,17447000,0,0,20124000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,25540000,0,0,0,0,0,0,0,0,0
0,0,37021000,41318000,37758000,0,0,0,29151000,0,0,97793000,0,39745000,0
0,0,0,0,0,82803000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14313000,0,0,0,0,0,0,0,0,0
0,0,15058000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120190000,0,72740000,0,0,130200000,0,47263000,30117000,0,34369000,0,0,0,0
0,0,0,0,0,39404000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,55221000,0,0,0
0,0,0,0,0,0,0,40218000,53226000,46838000,0,0,35452000,119510000,0
0,0,0,0,0,59243000,0,48455000,22322000,0,24324000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,16393000,0,0,0,0,23156000,0,0,0,0
0,0,0,0,0,23250000,0,0,0,0,0,0,0,0,0
0,0,20538000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,19321000,0,0,0,0,0,0,0
0,0,83570000,0,0,80597000,0,58830000,83525000,0,124570000,0,108200000,0,0
112810000,0,143290000,0,0,127770000,0,0,0,0,227290000,0,145000000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272050000,0,126580000,0,0,209340000,0,56818000,0,0,233180000,120840000,54081000,93135000,0
24451000,0,0,0,0,41742000,0,0,0,0,42093000,0,0,0,0
0,0,0,0,0,36488000,0,0,0,0,0,0,0,0,0
38061000,0,27305000,0,0,42896000,0,28224000,29322000,0,33552000,0,27675000,0,0
0,0,0,0,0,29236000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15131000,0,0,0,0,28488000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151600000,45922000,237120000,0,50495000,130950000,67136000,97027000,130380000,51969000,154180000,74773000,117030000,117130000,0
24768000,0,32345000,0,0,41325000,0,0,0,0,0,0,0,0,0
47076000,0,0,0,0,84078000,0,0,42302000,0,44655000,0,47597000,0,0
60186000,39694000,75661000,0,33328000,47681000,35429000,51022000,46320000,0,41041000,40129000,56702000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62288000,0,40996000,0,0,75967000,0,61621000,0,0,106090000,0,84321000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4737700,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46115000,0,39268000,0,0,162690000,0,41734000,48154000,0,134410000,45569000,25006000,0,0
31736000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664490000,0,441230000,0,99624000,550560000,0,224520000,262920000,0,540870000,0,372480000,85453000,0
0,0,32981000,0,86619000,0,0,0,0,0,0,0,40344000,0,0
0,0,0,0,0,85294000,0,0,61736000,0,0,0,0,0,0
84754000,0,82805000,0,0,146680000,0,131520000,73435000,50982000,121270000,0,93162000,0,0
36570000,0,28868000,0,0,37751000,0,0,0,0,27310000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46897000,17337000,0,41448000,0,0,0,0,0,0,53928000,0,49731000,0
0,0,0,0,0,0,0,0,0,0,0,72409000,0,0,0
0,67565000,0,0,52650000,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25796000,0,0,0,0,0
0,0,0,0,0,0,0,25157000,0,0,0,0,0,0,0
179390000,0,165180000,0,0,196340000,0,150110000,92185000,0,143610000,0,102960000,0,0
0,0,17596000,0,0,0,0,17585000,18529000,0,0,0,0,0,0
23013000,0,16182000,0,0,41762000,0,172310000,22889000,0,0,0,0,0,0
48313000,0,40040000,0,0,60800000,0,0,0,0,75194000,0,0,0,0
33575000,0,32827000,0,0,36644000,0,0,0,0,0,0,26005000,0,0
0,0,0,0,0,34214000,0,0,0,0,0,0,0,0,0
19031000,0,14317000,0,0,0,0,0,0,0,0,0,0,0,0
55887000,0,0,0,0,47886000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318010000,0,130030000,0,0,210560000,129730000,285400000,227120000,128530000,164600000,120500000,219820000,74852000,0
49290000,0,37363000,0,0,76959000,0,39646000,35911000,0,65133000,0,0,0,0
123520000,0,87074000,0,0,95362000,0,56768000,0,0,0,0,0,0,0
65848000,0,0,0,0,110230000,0,54777000,74537000,0,69142000,0,43249000,0,0
98093000,0,78618000,0,0,115040000,0,138550000,112760000,66326000,156070000,0,111080000,0,0
89971000,0,126670000,0,18648000,45023000,0,0,33130000,0,40759000,74708000,0,0,0
30266000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22606000,0,28481000,0,0,0,0,0,0,0,0,0,0,0,0
0,72829000,45059000,0,68434000,0,0,42062000,50588000,66802000,0,0,0,0,0
0,0,0,0,0,0,0,34031000,0,0,0,0,0,0,0
172090000,0,131540000,75614000,74460000,71349000,0,87612000,74355000,0,167960000,0,97523000,60363000,0
0,0,22087000,0,0,34990000,0,0,0,0,0,0,0,0,0
29898000,0,29123000,0,0,35138000,0,0,0,0,0,0,0,0,0
47328000,0,91196000,0,62332000,67636000,72633000,72138000,0,110930000,54371000,0,46910000,0,0
0,0,0,0,0,0,0,18795000,0,0,0,0,0,0,0
