NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
151940.3929,53706.96014,2442.450256,2399.506725,283298.213,315772.967,4849.413271,5234.955291,973.6959229,96228.24767,6450.034722,8329.737972,1203.534906,35911.12078,5646.832887,3613.873218,79738.48226,968.1111749
8134.76421,63607.50482,819129.8955,95970.91429,108897.066,48915.04859,40535.85043,43632.18137,53917.30455,7812.865709,9602.108891,14002.55252,59958.87207,7971.10744,96603.80367,13821.40211,2412.743801,3127.251307
7295.179048,61379.60529,694659.6776,90529.14142,113490.5475,42213.73492,37465.48722,24700.35433,46240.90603,7667.546864,13348.23701,22538.37611,38106.21444,3957.911996,91285.2985,5736.020322,1427.346861,3156.564459
83589.47812,12983.59821,1282.29416,4990.487847,93894.53313,203849.3863,81617.35941,42255.45541,1665.336765,29490.39665,1503.302077,372.3779895,657.868241,40677.84762,NA,747.7868093,962.4597702,2608.041575
22609.45063,30352.8723,5431.182312,350.0334697,79968.47998,48299.4953,462.3714138,357.1051941,1424.36201,19349.60333,NA,314.9239457,652.4285989,21056.52312,185.7296553,67.87298485,16254.80893,874.5465537
14574.1672,67400.87186,809.6388284,161.1190332,71793.75288,79922.82741,2892.166889,351.9477524,73480.18346,20779.35912,487.2001359,151.2982633,96237.39696,10175.23444,NA,545.8122853,10716.90212,739.1589946
3868.093795,29318.54952,NA,1177.079288,52425.00339,40199.96001,3439.548876,1369.165883,23434.90259,17463.58659,1668.299516,2897.203133,42277.02121,6628.167556,677.562345,2846.215644,3476.950835,510.7626132
3698.889378,59560.38099,123824.4606,28301.28102,113918.0849,37625.0972,37881.62658,8545.077144,45978.08461,4506.743895,4078.750392,19701.77661,13386.12192,2546.005139,6098.021307,3348.109791,2914.640281,3807.004996
35772.25574,47545.25384,3737.745714,1945.294478,89728.43437,106221.0929,1099.412666,397.3356109,11211.1528,36466.36513,771.2762115,1254.234898,10426.44328,55371.12977,2112.828869,1765.636273,14718.9773,6452.761467
3169.173241,40657.62138,377830.0794,68927.40792,70839.92627,32257.1108,12167.79161,18815.62656,32602.6881,5595.574075,6811.895731,9346.707922,34027.82155,4352.06185,29338.61513,1652.201197,2093.582884,3872.549985
3663.172359,27993.38934,33755.41546,2899.822606,5763.89656,15070.22222,4376.323333,401.5672417,55752.80543,10455.06137,17273.30876,1893.269692,91905.64042,6541.503046,7979.036616,607.0308153,2441.621294,5198.700295
838.2331027,13599.11131,7502.437689,1431.411107,1392.259908,4955.139367,390.9252255,3629.778159,23880.47864,1975.315321,8828.150535,2858.378055,41144.64364,2978.718624,6487.261172,1458.674162,977.2800895,3452.097007
26254.74446,168701.9938,5528.327449,5423.047601,189922.3363,116568.5384,11973.42724,3379.02648,224841.924,123558.6906,3962.289943,101424.9292,205517.8169,53411.48428,7743.057803,30475.60981,37455.24513,14125.56792
26932.66366,46744.51804,NA,NA,100081.8631,174754.6065,NA,356.6178191,1387.094298,27087.89664,14.39980503,332.1062789,181.3435155,13689.21303,437.2388655,534.8341516,11434.26816,218.2264858
84730.42727,4168.925695,6236.645277,1685.187769,86291.82174,72660.52329,915.6711668,326.1287645,10952.01087,15909.72929,1784.309821,2535.207395,6431.787834,255105.0028,1318.707631,825.0412798,44959.35821,8900.075781
26500.84793,3648.1159,4010.599998,7473.149684,11834.85782,17974.72159,2993.284734,7189.561129,6107.525111,35969.19752,2272.419117,15899.67529,2061.88958,258173.8228,6692.41019,8017.269843,7439.630662,2573.823969
10710.94339,51414.5337,621.4607446,14824.21648,18926.7649,74416.08108,6268.270231,342.508959,782.1734566,10529.6952,34985.84077,3817.511701,118.7261003,1309.176351,1557.216759,439.7298036,5760.450622,339.259286
7477.695471,91400.88944,18982.92373,14196.95008,38019.21948,39641.28654,4413.771228,4379.279083,134915.7532,16999.70988,16779.89193,11445.68652,175701.3643,10631.8479,3401.695521,5301.433691,11876.30618,28254.46852
19836.84466,67590.17994,802.2048824,NA,200829.0505,56164.04876,799.7752708,1944.601739,46078.42178,25799.51083,NA,1214.127202,33924.98333,42426.10683,1116.439024,2519.071737,7305.925442,526.2486402
9076.586979,47892.93543,69658.5268,475.6746266,18831.41901,24556.55865,1839.220717,6996.571378,61230.27735,21684.22949,32070.69504,696.7672539,103752.4801,18447.82997,23171.38337,259.3516794,2857.837113,15034.93402
3875.549118,37996.10566,1307.80946,1635.330104,69362.08687,33545.66547,1483.910142,24500.51477,28497.94003,13426.22857,2330.456637,459.2563681,30094.5819,5465.972322,17314.5113,53615.33561,21036.21463,2981.753588
38092.25505,42992.63933,3759.879828,13229.171,105033.6526,50027.31122,16180.90944,6453.584196,7451.655062,20383.07425,3713.11192,11245.25062,2320.423642,58432.78655,8256.192266,7374.904126,39757.0709,5894.646989
