Abundances (Grouped): 1000uL,Abundances (Grouped): 200uL,Abundances (Grouped): control
901.8,934.7,858.5
333.5,335.7,317
2086.8,2135,1980.7
2042.9,2035.8,1937.2
911.6,996.2,861.1
1410.9,1385.1,1330.7
4756.3,4972.3,4484.3
1311.2,1418.7,1235.1
584.4,596.5,548.5
964.4,1020.4,901.2
579.4,634.1,540.8
1597.6,1779.9,1485.3
1156.6,1180.9,1071.6
4238.9,4176,3924.7
2322.8,2503,2149.5
2253.4,2051.5,2079.6
1607.2,1654,1481
2224.7,2316.8,2050.7
521.9,577.9,478.8
1243.3,1254.8,1138.3
1429.9,1556.1,1307.8
1778.5,1900.5,1619.5
2891.3,2484.1,2630.3
4575.1,4094.1,4156.1
1450.2,1481,1309.3
2386.1,2349.2,2145.9
1146.5,986.5,1030
3112.6,3027.9,2778
342,345.3,303.8
1314.3,1240,1147.2
289,275.5,247
331.9,332.4,281.7
1162.3,1102.1,1416.9
16852.7,16775.3,20187.1
1597.2,2041.5,1879.4
470.6,478.9,542.9
2169.5,2726,2497
1711.7,1534.1,1951.9
2067,2862.5,2328
387.4,395.4,434.4
415.8,458.6,459.3
394.9,367.1,435.5
1935.9,1856.5,2131.4
296.8,288.9,326.3
216.9,208,237.3
522.6,523.3,572
1596.4,1463.8,1741.6
630.9,684.7,687
2607,2725.4,2813.9
862,849.6,925.9
1253.4,1166.8,1344.8
301.2,296.5,323.1
1222.6,1167.2,1310.3
1410.5,1367.1,1512.4
3687,3349.7,3953.5
585.1,553.3,626.2
4865.5,5931.2,5196.3
1535.2,1540.8,1639.8
1619.2,1462.2,1730.7
594.4,611.8,634.1
993,970.9,1059.4
1321.8,1496.9,1409.4
904.9,966.6,964
1368.8,1567.4,1454.3
508.2,502,539.8
695,731.6,736
741.9,705.7,785.8
449.7,465.5,475.2
1376.8,1299.5,1451
838.8,862.2,883
1050.5,1091.3,1103.8
478.5,476.4,502.3
936.4,930.4,978.1
512.8,519.8,535.3
1505.1,1424.1,1571.8
1578.3,1558,1643.3
700.5,646,725.9
391.9,398,405.5
743.5,676,769.7
896.9,884.9,923.9
400.4,416,411.9
702,730,720.6
375,391.7,385.1
7404.6,8936.9,7597
1588.4,1464.1,1626.9
1078.9,1122.3,1105.2
3042,2828.8,3112.7
1317.5,1286.8,1348.7
1145.7,1134,1173.1
2015.1,1854.4,2054.4
856.7,954.1,871.2
468.1,502.2,476
1475.8,1276,1502
418.6,444.2,425.3
1096.7,1125.9,1112.9
1198.4,1165.7,1215
425,440.6,431
1162.5,1065.3,1179.1
480.4,478.7,486.3
767.6,804.5,777.1
2095.9,2064.6,2113.7
2367.8,2454.8,2372.9
899.7,846.5,897
517.4,581.1,514.5
609.3,616.2,604.7
494.9,494.6,487.5
466.7,487.5,459.2
355.5,352,349.8
1497.9,1635.9,1474
1597.4,1683.6,1572.5
1811.8,1930.4,1774.3
2404.8,2288,2351.8
544,546.2,529.6
1112.8,1109.8,1081.3
1087.1,886.4,1055.8
8503.2,9331.2,8250.6
936.1,977.6,905.2
689.7,714.3,667.1
581.8,615,561.9
56.1,57.2,54
19929,21621.6,19195.1
489.3,537.2,470.3
1450.4,1534.7,1388.5
2021.8,2130.2,1926.8
8178.5,8159.9,7792.7
422.3,447.3,401.9
398.3,405.2,378.2
694.6,778.4,659.5
2700.6,2844.2,2565.1
1347.9,1403,1274.8
921.3,909.1,870.3
1696.8,1722.8,1599.2
10218.2,10983.4,9606.3
1086.7,1069.6,1020.4
1098.3,1116.5,1031.6
444.4,455.7,414
1040.1,1003.9,968.9
1568.8,1672.7,1454.7
438.3,447.4,405.7
2947.2,2790.5,2722.1
947.4,1010.1,871.7
928.3,841.4,849.6
11720.6,11987.1,10579.5
2703.6,2669.6,2426.9
266.7,281.3,239.2
1003.6,1052.6,890.4
525.6,547.8,463.3
11794.1,11781.4,10134.8
269.2,260.8,231.3
1555.7,1279.8,1318.9
645,621.2,526.6
3531,3177.9,2785.6
902.5,782.9,705.7
1341.2,1158.9,930.7
,,
1218.8,1066.2,1722.3
1030.1,1000.2,1450.8
1011.6,1061.8,1354.5
9645.6,9518.1,12034.1
2197.8,1961.6,2706
611.2,681.9,739
599.9,581.3,725.5
2282.2,2823.1,2713.6
487.5,502.8,570
451.9,454.5,526.4
606.7,635.7,705.4
540.9,596.2,621.8
1231.3,1214,1413.7
556.6,540.3,636.9
113.2,142.4,129.6
214.8,213.5,244
1073.9,1067.5,1215.8
822.9,736.3,931.7
1262.4,1283.5,1428.8
1309.9,1340,1477.8
902.7,899.6,1014
1129.6,1260,1269.4
296,296.9,330.7
1241.6,1328.5,1386.5
193.1,180.9,215.2
347.6,337,387.6
91.1,92.7,101.1
