Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-2.63276,2.23698,1.56667,0.51977,0.67073,0.21694,-0.5071,0.00395
2.1806,-2.44197,-2.343,-1.37538,-0.71957,0.66474,-0.16074,1.56119
-1.25566,-0.5117,-1.60279,0.32628,0.02976,-0.16314,0.92305,1.24322
-0.05513,-6.29184,-5.76306,-1.7294,-1.88518,0.59242,-4.40813,0.06228
7.16704,-0.92649,-0.21627,-0.14776,-0.75128,-0.97082,-5.19858,-0.09668
0.0228,-0.16638,-0.92412,-0.00991,-0.03353,-0.97959,0.07542,0.65208
-1.53886,-7.9336,-7.01326,-3.43519,-3.06915,0.44895,-0.45118,1.71712
-1.79381,-4.68942,-4.96318,-13.27331,-3.41251,2.19469,-2.99304,-0.40826
-0.15469,-4.60797,-6.01598,-3.45387,-2.94491,1.36923,-0.61134,1.08528
2.88177,-1.17433,-0.18748,-1.45167,-4.84088,0.66277,-3.48575,0.56541
2.23029,-4.44036,-4.71238,-1.23568,-3.45131,0.12955,-0.84671,3.13725
0.03794,-4.01147,-3.77548,-1.73877,-1.45825,2.40793,-1.95503,-0.01684
-2.5925,-4.29982,-10.76349,-4.80733,-5.72005,1.67823,0.123,1.3989
-0.21529,-0.4629,0.07325,0.46874,0.36335,-0.8461,1.45431,-0.91164
0.13146,-1.82325,-1.17217,1.98457,0.44177,-1.79229,0.74219,-0.34107
-1.16759,-1.64752,-0.49177,0.36897,-0.05574,-2.87203,1.48205,-0.65816
0.10688,0.83963,0.11201,-1.33855,0.15203,0.0208,2.3643,0.49915
4.44318,2.18117,5.14687,0.10624,0.20289,-0.61843,-4.01404,-3.89968
-1.51519,-4.21569,-2.78503,1.55671,0.22657,-1.33346,2.05772,0.36763
-2.34486,-7.04616,-2.69417,0.80246,1.49656,-2.3251,4.16575,0.05765
-1.582,-0.45488,-0.83103,1.74269,0.184,0.21074,0.3682,0.1496
0.70692,4.61855,0.33044,-1.28393,0.30034,2.3876,-1.88608,-0.45008
0.23514,2.82933,3.44477,-1.47454,1.67087,-0.49133,0.47177,-2.13747
-1.45298,-0.86081,-0.31889,0.22977,0.25386,-1.12957,3.41569,0.03227
1.44397,-0.00254,-0.10017,2.93041,0.46317,0.03526,0.29368,3.53653
-0.20543,1.50472,-5.43573,-11.17453,-2.33499,0.4912,-2.07195,-0.62231
0.00087,0.182,1.29056,1.26589,1.82504,1.61194,1.757,0.32344
1.73972,-5.98055,-4.13363,-0.06375,-1.65573,0.63148,-0.72188,1.72073
-4.18602,1.30249,-3.15976,-6.13771,-0.43405,12.73166,-3.73482,-0.01457
-0.07231,-5.83493,-9.67658,-2.03891,-5.31462,-1.09187,-2.21761,-0.33302
0.94424,5.24591,7.15321,1.15491,0.34213,-0.31906,-0.83404,-1.27112
1.50082,1.23515,2.58618,0.02231,0.17023,-0.52303,-0.88366,-2.86839
0.27439,3.37117,5.67074,0.84875,0.62987,-0.16555,-1.34731,-0.33864
-0.0153,2.1095,3.16729,-0.5744,0.50383,-0.17754,-0.6986,-0.00003
-0.72879,-2.5986,-0.17298,-0.07805,-0.06642,-2.39768,1.55527,-0.94877
-1.73604,8.32997,1.33595,-0.06397,-0.501,-0.24354,-1.34494,-3.19381
-0.70726,-0.04533,0.45729,-0.04693,3.72508,-1.91827,1.67854,-1.12212
-0.84981,-0.49129,0.12128,0.36593,0.25545,0.24526,0.20416,0.10311
2.47545,-7.00458,-8.58969,-3.68281,-3.97937,10.65479,-0.05867,5.63787
-5.67699,-1.43757,-1.67363,-0.06359,-0.64452,5.93883,-0.66474,-0.00865
0.38196,-10.79135,-5.6688,-3.24701,-4.78283,-2.0339,5.00271,1.61479
4.16977,5.52257,10.71931,2.68958,1.25144,-4.80733,-0.2212,-3.35511
-0.2955,-2.84211,-6.77677,-0.93617,-0.27042,0.14496,0.81669,0.50735
-0.0343,-0.962,-5.5994,-1.7272,-3.591,0.78584,0.07671,-1.44605
0.28405,0.25417,-0.81967,1.78378,-0.00661,0.24837,-0.04591,1.18471
-3.95252,-2.13009,-3.77943,-1.64752,-2.31163,0.38543,-0.85631,-0.03728
0.30912,4.35354,5.74424,1.33346,0.37553,-1.48838,-0.43075,-1.29256
-0.55211,1.82133,0.17052,-1.28382,0.89302,0.36801,-0.16666,-0.83924
-0.2535,0.05654,-0.22139,0.11265,0.01685,0.83851,0.22654,0.74439
