old_1,old_2,old_3,old_4,young_1,young_2,young_3,young_4
29.78955,29.3449,28.92759,29.33932,28.28991,29.08396,28.86706,28.42794
35.12567,35.3875,36.05033,35.67769,34.7515,34.60272,35.20605,34.95033
29.12529,27.87314,28.75194,28.272,26.83328,28.42037,27.94776,28.09818
25.89312,26.41501,26.67587,26.74522,26.27293,25.55853,25.08331,26.09338
28.1453,28.67691,28.12194,28.19164,27.48039,27.98593,27.53823,27.41498
30.71408,28.69192,28.49892,30.26439,27.35153,29.79529,28.92346,29.38681
26.66425,26.1369,26.10287,25.57966,25.44733,25.23827,25.51054,25.5771
24.58721,26.25848,25.9954,25.36346,NaN,25.36376,25.84134,NaN
26.50951,26.90254,27.44617,27.33867,26.10386,26.28986,26.68672,26.42605
27.69505,26.74085,26.88017,26.2043,NaN,27.25629,26.43009,26.74663
26.50797,26.7758,26.2501,26.58864,26.97421,25.27906,26.07902,25.10629
27.19094,26.16064,27.11664,27.14317,26.20929,26.58003,25.55941,26.57989
28.71512,28.52481,28.38694,28.50979,28.02897,27.92632,27.74695,27.75392
32.0038,31.83315,32.54476,32.8001,31.12546,31.99688,31.50223,31.87771
28.20158,29.22591,29.30278,28.77615,28.58581,27.97038,28.04072,28.23036
27.46832,29.41921,28.20326,29.87378,28.0608,28.00308,28.07413,28.14778
29.10714,28.66204,28.28802,28.14239,27.3741,28.10954,27.94553,28.09295
27.53089,26.96719,27.39926,27.16949,26.93506,25.97625,26.77906,26.70345
25.18044,24.62606,24.71303,25.44348,24.44506,NaN,24.95438,24.73278
24.5013,27.44656,26.47091,25.69856,25.56436,NaN,25.74253,26.12619
26.14336,NaN,25.80156,24.61094,NaN,NaN,NaN,24.26256
24.09378,25.96671,24.32643,24.87103,NaN,24.00307,24.86457,24.60682
26.94659,27.50006,26.96102,27.33262,25.48579,26.53463,26.8832,27.18764
