"Abundance: 126, Control, Pool, n/a",Caput 1 (127N),Caput 2 (127C),Caput 3 (128N),Corpus 1 (128C),Corpus 2 (129N),Corpus 3 (129C),Cauda 1 (130N),Cauda 2 (130c),Cauda 1 (131)
95.9,134.8,70,106.3,124.6,109.3,77.7,97.8,103.3,80.3
105.4,89.6,56.4,69.1,98.9,88.4,73.5,123.8,146,148.9
106.7,104.8,61.9,109.9,96.5,93,66.3,112.7,124.3,123.9
115,55.4,36.2,54.2,112.6,102.3,62.9,136.9,188.5,136
74.2,125.7,59.4,115.8,131.6,133.1,98.2,79.5,98,84.7
104.2,91.5,47,94.4,104.5,128.6,79.3,69.4,137.2,144
100.2,96.6,63.8,95.9,76.6,130.5,69.3,161.2,112.2,93.7
104.9,100.3,73.4,75.3,120,85.9,94,115.6,109.1,121.4
96.4,101.8,125.2,73.3,113.6,95,112.6,98.4,87.8,96.1
106.6,101.4,200.1,120,89.3,75.4,91.3,64.8,73.1,77.9
99,104.2,91.6,132.1,100.9,86.9,76.3,146.3,84.5,78.2
93.5,118.3,90.9,123.1,116.1,112.6,94.4,95.5,83,72.7
105.3,75,71.9,46.1,159.1,63.8,67.3,129.5,127.5,154.4
105.5,110.3,109,105.5,97.1,85.9,70.1,120.6,107.5,88.4
110,102.9,132.4,75.9,81.2,78.2,99.6,103.5,98.6,117.9
114.5,67.2,107.4,68.3,80.1,67.1,123.3,110.9,126,135.3
95.3,76,67.7,60.6,172.9,102.2,110.8,101.1,104.3,109.1
92.1,55.4,49.5,51.2,207.9,173.2,123.2,79.9,83.6,84
103.7,136.8,126.1,111.6,85.2,101.2,94.9,94.5,72.4,73.6
96.5,97.9,90.5,99,125.8,109.1,90.6,97.1,96.5,96.9
90,97,89.4,150.5,105.6,104.3,72.4,110.2,120.1,60.6
96.5,93.2,93.4,152.9,97.2,124.1,78.3,115.6,77.8,71
82.4,164.6,98,136.1,138.3,103,89.7,72.4,63.7,51.8
94.5,119.2,92.5,75.1,142.6,105.9,89.8,99.9,87.9,92.6
81.8,198.2,113.5,132.2,115.2,99.5,79.5,60.3,59.6,60.2
94.4,102.4,69.4,94,147,136.9,101.4,81.1,89.8,83.5
96.5,60.6,68.4,100.6,115.5,146.8,95,161.2,68.7,86.6
53,141.6,87.9,81.9,174.5,119,126,98,90.9,27
93.9,97.8,84.2,108.3,134.7,136.6,104.5,96.4,78.1,65.5
95.2,116.2,92.5,102.8,134.9,106.4,76.2,102.9,93.4,79.5
94.6,111.8,91.9,139.3,113,103.1,76.1,114.5,82.7,73
109.3,87.2,203.8,85.9,87.2,72.9,113.5,69.9,89.3,81.1
104,78.1,204.8,93.4,81.4,81.3,107.4,74.5,87.9,87.2
113.2,79,232,62.7,69.3,63.5,126.8,73.2,90.4,89.9
93.7,116.6,137.4,165.8,77.4,132.1,99.7,67.5,60.6,49
95.4,108.8,148.9,194.3,66.4,112.9,87.4,73.5,56.6,55.8
90.8,143.1,139.5,178.1,70,125.1,100.8,56.3,50.4,46
87.6,61.1,66.5,83.6,79.9,236.7,132,101.1,79.2,72.3
93.9,106.8,138,168.3,77.4,156.1,105.1,55.3,51.7,47.4
99,88,108.7,128.2,67.6,168,113,88.8,70.8,67.9
104.4,98.5,151.1,141.6,70.4,93.7,85.7,84.1,83.2,87.4
107.6,90.3,234.8,77.8,71,76,136.7,59,73.9,72.9
118.7,68.9,279.7,66.3,52.5,56.9,114.4,62.8,105.7,74.2
99.8,213.2,139.6,145.4,57.6,94,86.1,59.2,49.8,55.4
108,74.4,107.8,103.8,82.7,80.8,80.5,148.8,107,106.3
103,83.3,94.6,143.4,59.7,75.2,69,150.3,115.3,106.1
84.7,137.3,80.1,82.1,154.9,126.6,117.3,71.4,70.4,75.1
92,107.6,94.1,76.7,160.1,117.1,114.4,73.5,75,89.4
122.4,45.4,43.6,30.7,45.1,54.2,65.6,194.7,193.1,205.3
114.6,62.1,97.7,41,80.6,55.8,111,148.3,152.1,136.8
100.3,105.5,133.8,69.8,97.3,99.4,126.2,85.5,99,83.1
106.6,86.5,132.9,65.3,63.5,79.2,120.8,89.8,140.5,114.8
99.3,121.6,127.3,139.7,77.8,125.4,100.9,70.4,79,58.6
99.2,85.3,97.4,141.1,89.8,117.2,87,107.1,91.5,84.5
91,104.6,167.9,94.2,102.5,98.5,114.3,65.7,78,83.3
103.2,112.1,147.7,97.4,103.8,89.1,110.7,72.4,83.9,79.6
101.2,115.9,112.9,66.9,118.9,85.4,139.4,77.3,93,89
94.7,118,184.2,97.5,108.3,74.4,94.6,68.8,75.8,83.7
100.8,90,68.5,84.6,101.3,103.3,75.3,168.1,115.3,92.9
103.8,99.7,123.8,78.4,73.9,79,136.4,89.7,122.2,93.1
100,113,142.4,162.8,87.1,118.9,101.8,59.4,59.6,54.9
85.5,94.1,70.3,100.4,83.5,246,156,66.5,54.6,43.1
93.2,100.6,112.8,112.9,99.1,108.9,87.4,103.3,98.3,83.5
87.7,129.3,113.9,162.8,106.6,102.7,82.9,77,68.5,68.6
95,84.9,75.8,101.9,123.4,120.5,80.7,131.9,97.8,88.3
88.8,130.2,108.6,165.7,147.8,109.2,84.7,69,52.2,43.7
99.9,89,87.6,176.2,141.6,97.2,68.2,102.2,72.2,65.9
115.8,77.4,138.6,55.4,62.7,63.2,94,96.4,139.1,157.4
83.5,161.7,74.6,159.9,113.5,106.1,79.4,75.5,80.3,65.6
90.5,166.2,119.3,117.7,116.1,115.2,105.4,56.6,57.7,55.2
100.3,104.1,124.6,133.1,76,103.8,109.1,95.4,84,69.8
104.1,83.6,126.5,100.2,80.6,120.3,100.1,96.1,93.4,95
100,102.2,141.3,126.4,64.3,137.5,98.1,84.1,76.7,69.5
94.9,94.8,152.3,180.1,60.9,85.6,76.9,96.6,77.5,80.5
116.2,59.5,122.6,59.9,62.2,63.6,85.9,114.4,155.4,160.5
102.2,102.7,151.3,79.2,66.5,89.9,135,82.8,94,96.5
109.1,87.9,83.6,88.4,89.3,89,87,124,129.2,112.5
92.9,118.2,61.8,73,140,115.5,102.4,97.8,99.1,99.4
107.6,34.3,34.7,32.7,115.4,120.3,105.8,198.2,125.9,125.3
93.6,54.1,48.9,47.2,178.1,174.7,137,111.6,82,72.8
98.3,105.3,83.2,88,126.4,111,80.9,108.2,104,94.6
108.2,82.3,110.4,75.3,77.4,82.6,100,146,107.3,110.5
97.7,113.1,102.4,105.2,108.7,94.6,95.6,112.3,87.5,83
114.9,59.4,76.1,72.3,64.5,76.7,73.6,193.2,134,135.3
123.1,58.3,41.6,57.3,58,58.6,55.3,175.9,196.4,175.5
108.4,83,125.2,41.7,51.1,89.4,169.7,80.9,158.7,91.9
94.1,100.5,79.1,65.1,177.5,111.7,132.6,83.5,77.4,78.4
81.4,126.8,82.5,90.8,184,100.8,135.2,73.6,67,57.9
116.9,68.8,99.6,52.2,45.9,47,90.6,78.4,177.2,223.5
125.5,56.7,69.2,37.7,42.8,41.9,80.6,80.6,200.8,264.3
132.7,41.3,57.9,32.6,36.7,35.8,69.2,94.5,215.2,284.2
133,43,58.6,32.9,37.7,35.9,72,88.7,202.7,295.5
130.3,46.4,53.8,36.9,41.3,38.5,66.4,85.7,210.8,289.9
128,44.8,70.5,35.5,35.3,38.6,79,88,204.4,275.9
127.1,48.7,67.4,31.8,30.8,34.2,76.8,88.9,211.9,282.2
131,33.9,37.7,26.8,69.6,49.3,65,81.7,214.9,290.1
122.1,56.2,63.6,39.2,52,47.6,79.1,85.2,195.9,258.9
92.1,110,83.5,94,75.2,67.3,93.3,85.8,136.4,162.6
127.4,46.3,54.5,34,37.9,38.7,66.1,83.2,208.5,303.6
133.3,42.2,52.8,30.6,30.2,35.2,67.6,88.4,234.4,285.4
124.1,49.9,72.6,34.2,30.9,33.7,81.3,74.1,197.6,301.6
127.2,47.7,69.7,44.3,40.8,42.7,74.8,90.9,203.6,258.4
116.3,63.6,89.6,38.8,43,50.6,92.1,83.2,177,245.8
136.3,34.8,54.5,20.7,25.9,28.1,65.5,85.6,216.4,332.2
125.1,42.3,60,29.4,50.3,40.8,70.5,95,204.3,282.3
122.2,52.3,69.3,37.8,55.8,55.2,82.2,99.7,191.9,233.5
109.7,87.8,106.1,60.2,104.8,65.9,96.5,111.9,134.3,122.9
97.2,104.6,139.6,153,79.2,131.5,101.1,65.3,68.6,60
110.2,76.6,101.6,53.4,67.3,70.9,173,103.9,122.7,120.4
95.9,154.8,150.4,180.6,62,78.8,79.5,70.2,65.7,61.9
84,98.3,68.6,246.2,86,148.4,76.7,81.5,58.2,52.1
85.4,117.7,80.8,141.7,133.5,167.6,101.3,67.3,54.7,50.1
86,120.4,88.2,242.9,98.2,122,78.9,61.2,49.3,52.9
87.6,95.8,74.6,175.2,106.6,190.5,101,67.4,53,48.2
87.4,124.7,107.5,160.2,101.9,159.9,94.3,65,52.6,46.5
92.2,103.8,89.5,103.4,102.9,84.6,84.6,130.3,120.7,88
94,93.4,82.9,113,116.8,150.3,112.7,90.9,78.8,67.2
88.2,173.5,134.5,181.2,67.7,124.6,92.2,49.5,45.9,42.8
86.5,197.7,120.9,165.6,65.6,144.7,101.5,42.7,39.7,35.1
123.7,47.6,113.6,57.1,50.4,74.4,101.1,129.8,152.7,149.6
84.1,127.7,80.9,189,169,127.4,75.8,63.7,45.9,36.6
85,97.2,79.1,223.7,175.2,98.8,57.8,92.7,48.4,42.2
104.9,79.9,87,84.8,76.9,84,70.5,153.5,139,119.5
94.9,125.5,107.9,170.1,95.2,89.3,65.3,98.8,76.4,76.6
92.2,125,120.4,146.2,76.8,127.5,104.9,68.9,72.3,65.7
71.4,132.8,80,118,127.2,139.3,100.2,61.6,108.3,61.1
76.2,150.9,123.5,190.9,117,100,86.4,50.8,51.3,52.9
94.6,89.2,105.1,121.6,79.2,164.9,128.8,85.4,65.2,66
91.3,116.3,145.5,193.5,89.1,123.8,87.6,54.6,52.5,45.7
83.1,139.1,108.5,129.6,112.2,105.3,103,76.2,77.2,65.8
95.8,109.8,117.6,163.3,87.9,149.4,100.3,73.9,56.3,45.8
105.2,98.4,139.8,102.2,84.9,103.3,113.4,95.3,86.5,71
119,50.1,43,51.4,47,57.7,48.7,215.5,190.9,176.8
108.6,89.4,208.7,93.3,87.8,71.4,127.5,67,68.9,77.2
108.3,93.2,99.8,111.2,92.7,101.6,90.7,103.1,95.9,103.5
91.7,103.5,110,89.4,139.3,92.9,114.7,94.9,78.3,85.2
93.8,109,146.3,102.4,115.7,85.3,111.8,80.8,76.1,78.8
96.1,103.4,157.5,106.1,112,72.1,92.2,84.2,88.6,87.9
109.8,77.3,241.5,118.6,62.6,54.3,99.1,75.4,84,77.2
91.7,93,53.3,55.7,202.9,157.7,138.9,76.8,64,66
94.9,93,95.1,80,138.9,144.7,132.8,83.2,67,70.3
96.5,82.4,122.3,70.3,88.5,98.1,133.7,86.2,123.6,98.4
93.2,112.5,141.3,190.5,87.7,127,99.6,56,48.6,43.6
90.1,121.9,133.3,178.7,91,135.2,107.4,56.7,45.2,40.5
93.3,109.7,123.1,176.3,70.5,161,108.3,61,53.2,43.6
100.1,101,88.4,131.2,95.5,123.6,93.2,104.6,90.3,72.3
84.7,186.7,130.1,104.2,153.9,71.3,95.7,61.8,61.8,50
110.5,84.3,240.4,83.2,63.3,58.5,111.2,76.3,80.7,91.6
87.6,228.5,161.4,251.6,47.1,58.3,49.8,40.1,41.3,34.3
94.7,133.6,71.7,95.1,154.7,139.9,99,66.4,61,83.9
93,99.8,77.1,81.9,165,119.7,97.8,92.2,84.2,89.1
100.9,105.5,142.8,102.4,74.8,90.4,134.3,82,83.4,83.4
76,140.1,65.8,110.9,146.4,167.2,92.6,62.6,67.5,70.9
71.8,147,192.6,98.3,75.7,86,162.7,42.1,52.8,71.1
105.9,86.5,110.7,63.4,93.8,83.8,123.9,98.3,125.9,107.8
99.5,130.9,138.9,83.8,132.6,105.8,100.7,74.7,68.3,64.9
105.9,130.4,99.8,78.5,119,74.7,113.5,72.3,82,123.9
70.2,160.1,71.8,125.3,128,124.8,106,78.6,81.6,53.6
85.4,162.5,76,135.4,122.9,121.1,81.9,77.3,69.3,68.2
93.7,102.6,129.4,131.5,91.6,97.4,97.6,86.6,83.1,86.6
103.3,103.4,115.7,120,95.1,85.4,94.4,99.6,95.9,87.2
86.9,101.1,104.9,79.2,130.1,98.3,120.3,106.4,106.3,66.4
95.5,105,74.8,73.3,129.1,86.3,99.9,107.8,118.3,110
85.7,146.8,127,138.6,113.7,106.6,87.7,64.9,59.6,69.3
101.2,138.3,82.5,77.2,124.7,124.6,116.4,87.9,81.4,65.9
84.9,137.5,109.4,157.9,139.8,95.2,70.1,76.7,62.3,66.1
83.4,124.1,125.3,118.3,87.7,68.4,110,77.8,102.8,102.4
102.7,91,99.2,67.7,126.3,91.7,109.7,105.1,102.6,104.1
110.2,95.3,214.6,76.9,66.2,63.4,75.7,81.4,111.1,105.2
99,114.7,102.5,68.6,111,92.7,114,99.9,101.4,96.3
94.2,125.3,84.3,113.1,149.4,102.7,80.9,97.2,77,75.8
108.7,100.4,98.8,78.8,120.8,105.1,91.7,115.3,81.6,98.8
101.2,117.1,105.9,120,102.6,75.1,94.3,87.4,106.1,90.4
95.5,105,98.9,168.8,88.4,127.2,78.2,95.7,81.2,61.1
94.2,97.5,84.4,78.1,121.5,126.4,98.5,103.1,101.3,95
99.6,98.9,91.3,109,126.3,108.8,88.8,104.1,87.9,85.4
95.3,89.3,109.2,137.4,94.7,124.3,100.5,95.1,84.4,69.8
94.6,89,109.2,180.4,89.3,151.3,92.1,80.7,65.3,48.1
91.9,89,111.3,198.2,86.4,156.9,87.3,74.3,60.4,44.3
101.4,102,91.7,117.7,109.9,120.9,89.2,106.4,84.8,76
91.9,98.4,111.2,120.3,87.8,109.1,81.7,98,108.8,92.9
92.4,111.7,127.6,128.4,115,127.8,90.9,73.9,63.8,68.6
101.3,119.5,129.9,137.2,98,111.2,80.4,81,76.3,65.2
97.7,84.3,89.5,145.3,85.2,143.2,87.5,109.8,88,69.4
105.5,110.7,98.8,132.4,85.9,104.3,74.2,114.3,107.9,65.8
95.2,112.5,98.4,151.4,110.3,120.6,90.8,86.9,72.9,61
93.3,116.4,121,168.8,92.8,114.2,102,69.7,66.7,55
95.2,104.7,107.9,162.5,107.2,118.4,77.7,93.4,70,62.8
97.7,100.7,113.7,168.3,98.1,107.5,92.6,87.6,73.4,60.3
93.3,109.4,106.5,161.3,103.1,108.4,77.4,94.7,81.1,64.8
82,58.3,61.8,82.7,109.2,212.9,122.2,103.5,104,63.4
94.8,96.1,98.5,167.7,88,132,84.4,93.9,79.2,65.4
105.5,98.2,112.6,138.3,102.3,97.1,92.3,93.5,88.6,71.6
98.8,114.7,106.8,141.9,122.2,107.5,85,82.9,74,66
100.3,90.3,128.4,135.6,81.3,116.9,87.6,87.6,99.4,72.4
92.6,119.2,71.1,134.6,130.3,135.9,83.4,100.4,75.1,57.2
99.4,100,77.2,99.2,112.7,99.6,65.6,138.1,111.7,96.5
89.6,106.3,83.5,133.5,121.3,116.5,85.9,106.1,81,76.2
95.9,111.8,84,122.7,90,128.7,87.7,120.2,82.9,76
94.5,111.2,90.4,139.1,117.3,111,85.6,103.8,79.6,67.5
96.3,108.4,95.5,97.3,101.3,98.7,91.5,112.4,100.7,98
99.3,100.4,88,113.8,109.4,103.8,85.3,121.5,93.8,84.7
96.7,118.5,85.4,118.7,119.3,111.4,88.2,103.5,87,71.3
103.8,86.4,81.3,74.5,89,66.3,75.4,152.8,137.9,132.5
92.1,132,98.2,122.9,122.8,120.9,83.7,95,74.5,57.9
96.1,110.3,93.3,118.9,102.1,140.9,95,90.2,79.5,73.6
86.4,128.3,95,164.3,117.3,94.7,87.4,101.4,64.8,60.4
109.3,65.9,55.1,63.5,67.9,64.3,44,225.8,159.3,144.8
91.9,121.8,93.2,128.2,118.2,129.4,77.1,94.8,83.1,62.3
95.3,81.6,101.5,130.2,97.5,114.5,100.9,113.7,82.4,82.4
108,74.4,179.4,69,75.1,71.4,110,84.6,118.6,109.5
86.5,107.2,97.9,170.9,90.3,101,65,107,122.6,51.7
96.9,99.3,128.4,82.9,119.8,103.8,111.4,76,86.4,95.2
94.5,69.9,145,239.6,52,153.1,76.3,60.8,48.6,60.3
93.2,91.6,127,191.8,91,123.6,91.9,71.4,54.9,63.6
99,106.1,104.5,112.4,111.4,100.7,92.4,111.4,83.9,78.2
101.8,93.3,96.3,106,100.8,96.5,88.8,128.7,100.1,87.7
121.7,63.8,75.1,46.1,75.9,56.3,120.2,104.8,135.7,200.5
107.5,77.6,65.8,60.3,93.2,80.2,107.2,115.9,133.5,159
98.7,108.2,145.5,168.9,99.2,86,79,83.3,67.8,63.3
102.4,90.6,111.5,99.3,108.5,86.7,91.3,105.1,97.8,106.8
92.3,144.1,149.8,135.6,117.8,86.3,91,62.9,60.4,59.8
100.3,102.7,108,100.1,91.9,87.5,93,101.6,106.4,108.5
93.8,116.8,89.9,125.9,128.9,110.4,85.2,99,73.4,76.6
95.1,103.1,93.3,99.8,132.5,113,115.9,78.5,83.5,85.2
110.8,95.9,100.8,74.2,74.6,85.1,91.3,105.3,132.3,129.6
105.8,92.3,136.7,96.3,84.9,80.9,99.4,83.4,123.9,96.5
86.7,144.5,119.8,108.1,99.8,99.4,128.9,68.7,77.6,66.6
109.2,87.3,115.2,69,73,78.7,100.4,106.4,135.5,125.2
103.8,92.8,123.6,106.8,94.5,100.9,100.7,83.2,96.3,97.3
110.8,88.2,284.7,94.7,75.3,64.1,131.1,43.8,51.9,55.4
108.3,81.1,216.9,87.8,70.5,67.5,166.2,57.4,65.1,79.2
111,82.5,199.7,62.7,71.5,62.1,99.5,93.9,114.2,102.8
106.1,96.1,124.8,62.1,78.6,84.1,141.4,90.6,108.3,107.9
90.7,115.7,122.6,76.9,100.3,107.6,142.5,76.5,93.9,73.3
105.5,105.5,124.2,96.9,76.1,104.3,78.3,111.5,102.5,95.3
97.2,108.8,141.4,85.2,136.7,97.9,131.3,58.8,70.6,72.1
112,57.3,67.1,55.2,53.4,66.5,66.5,214.5,158.7,148.8
83.7,118,99.8,127.4,77.2,109.7,99.3,146.2,64.6,74.1
103.6,74.8,62.9,84.7,68.3,89.9,61.3,174.3,144.7,135.4
81.8,285.5,131.3,205,76.4,49.8,52.8,34.9,49.9,32.8
95.2,123.3,133.4,160,93.9,95.8,75.1,73.4,74.9,75
100.3,113.7,188.8,154.1,79.5,72.8,78.7,74.5,70.5,67
98.8,72.8,74.8,148,124.4,101.6,59.5,144.2,88.7,87.2
94.2,89.1,100,132.8,124.5,116.8,87.2,104.8,82.1,68.5
75.2,121.3,83.5,143.5,136.5,102.6,75.4,101.2,95.6,65.3
100,70.7,80.5,125.7,97.9,123.4,84,139.3,102.2,76.5
84.3,134.3,70.9,116.5,137.9,117,84,81.6,91.1,82.3
95.8,101.5,130.5,82.1,94.5,73.6,103.9,87.8,124.7,105.5
93.1,51,81.7,110.8,122.6,127.2,119.9,102.4,94.3,97.1
103.2,90.5,101.8,67.5,127.3,85.4,110.8,108.9,103.1,101.6
101.9,108.1,113.9,85.9,100.6,78.3,111.9,88.3,98.1,113
132.8,96,76,34.4,62.9,57.6,68.8,172.7,132.5,166.2
104.3,94,109.7,68.6,113.6,82.1,117.4,100.3,99.4,110.6
106.6,63.8,72.7,91.4,94.3,86.8,69.7,153.7,137.7,123.5
98.9,114.8,80.7,99.3,109.7,118.2,104.9,131.9,73.4,68.2
93.8,98.9,71.3,116.5,92.4,169.9,102.3,106.8,76.4,71.7
97.6,76,80.8,108,102.3,135.8,106.9,97.6,101.4,93.5
113.2,57.9,53.5,48.8,100.8,68,79.5,137.5,156.6,184.3
88,169.8,57.1,90.5,151.2,126.7,64.4,80.6,86.4,85.3
106.1,51.8,58.2,38.4,98.4,96.2,75.4,205.9,135.5,134.1
100.6,119.9,122.1,90.4,88.5,89,96.4,89.4,112.6,91.1
95.2,138.8,170.3,139,45.9,117.1,133.7,58.2,59.6,42.4
100.7,114.4,132.9,86,68.7,84.9,136.3,79.6,106.6,90
100.8,114.8,150.3,98.6,85,98.2,93.6,87.6,86.2,85
111.9,95.5,190.9,84.6,78,67.1,103.5,84,96.4,88.1
110.5,93.2,119.7,57.8,73.6,66.9,89.3,118.4,129.9,140.7
93.1,105.7,85.8,76.6,146.5,101.6,133.5,77.1,82.7,97.5
86.1,106.5,141.2,104.5,122,101.1,95.7,72.8,95,75
86.3,142,71.8,99.4,151.8,112.6,104.1,80.2,77.7,73.9
111.3,123.5,123.5,73.5,99.9,69.5,86.5,104.9,107.8,99.5
90.4,117.9,120.2,100.7,117.4,104.2,100,69.3,96.3,83.7
99.3,93.4,96.2,71.5,128.9,97.3,127.1,88,95.8,102.7
101.3,113.1,50.5,78.7,137.9,136.8,80.3,87.8,93.4,120.1
105.1,99.1,78.6,89.4,87,106.6,76.6,131.4,124.1,102.1
87.9,157.2,46.4,118.1,147.6,137.8,58.4,63.3,89.2,94.3
97.9,87.3,71.2,69.8,133.5,94.6,72.1,169.5,111.2,92.8
103.9,58.3,62.2,52.5,89.3,121.6,166.7,152.8,103,89.7
87.1,118.1,70.9,115.2,159.8,144.5,64,76.9,81.4,82.1
98.1,95,133.5,143.8,76.6,89.4,83.1,97,85.4,98.1
82.8,113.5,73.3,100.4,126.5,139.1,108.6,84.2,99.6,72.1
87.5,173.6,85.3,134.7,128.8,124.1,94.7,52.6,60.3,58.3
91.6,112.9,114.6,148.3,132.5,115.7,76.3,81.6,70.7,55.7
98.4,88.4,119.9,101.5,110.6,120.8,106.6,91.4,82.9,79.3
109,72.6,136.9,136.4,61.5,74.6,85.5,120.5,102.6,100.5
105.2,77.1,143.3,192.1,58.4,89.2,78.1,102.8,87,66.8
95.7,91.1,159.3,189.9,67.5,84.9,84.5,84.6,75.8,66.5
103,111.4,136.1,84.8,90.3,78.6,115.4,81.2,96.5,102.7
93.7,93.4,130,149.5,79.4,94.5,84.4,114,87.9,73.2
107.7,97.1,123.9,67.7,93.9,96.9,135.3,88.6,97.7,91.2
93.9,126,126.7,114.3,137,93.6,94.3,67.5,70.9,75.7
97.8,139.6,140,86.8,93,83.6,111.9,73.7,86.7,86.8
61.5,110.3,158.7,88.7,87.3,99.5,192.1,47.4,100.7,53.7
80.6,147.6,180.7,70.8,73.2,96.8,163.8,45.7,65.3,75.7
83.8,117.3,133.5,100.5,94.7,92.5,140.7,78.2,89.7,69.2
95.8,109.5,96.9,163.5,105.3,95.1,69.8,113.4,77.5,73.2
100.5,100.4,84.5,125.4,109.1,83.9,69.7,131,108.5,87
97.6,65.6,64.7,112.3,89.1,163.1,86.5,138.6,94.1,88.2
98,117.3,113,193.2,92.4,104.1,66.4,89.9,70.3,55.5
102.2,97.3,87.9,154.6,84.3,99.1,65.3,137,93.3,79
91.2,193.9,168.1,236.2,84.3,58.9,67.9,35.6,33.4,30.5
93.7,73.5,53.1,82.3,165.2,234.1,127.6,67.2,53.6,49.7
85.6,107,85.6,132.1,156.5,109.4,81.9,102.9,79,60
95.8,55.6,59.4,108.7,96.2,206.8,98.9,129,82.1,67.5
102.7,52,69.5,81.4,79.9,162.7,94.5,162.3,109.7,85.2
93.3,58.1,71.1,74.7,138.1,185.7,104.9,112.3,90.1,71.8
102.9,37.3,32.4,35,134.8,176.6,89.5,192.4,121.6,77.5
89.6,178.9,114.7,182.8,104.8,98.7,87.7,52.2,48.1,42.6
114.6,68,51,50.5,140.2,77.6,89.1,133.1,129.4,146.6
99.7,76.8,108.9,115.5,67,159.8,129.6,108.1,73.8,60.9
90.9,140.1,140.5,142.8,117.3,92.2,83.2,67.7,63.4,61.9
84.6,154.8,126.6,156.6,125.8,120.8,93.5,49.4,43.3,44.7
72.3,149.9,113.4,131.4,146.7,116.5,89.4,59.8,60.6,60
117.1,62.9,83.6,73.1,51.5,50.5,81.6,114.8,174,190.9
96.6,104.7,96.7,67,131.2,101.3,123.9,95.3,95.7,87.5
98.1,104.5,78.4,73.5,116.1,112.1,107.1,117.2,87.3,105.7
76.7,115.5,121.1,113.6,111.9,88.5,132.7,72.7,94.9,72.3
73.4,107.9,119.8,149.4,115.9,113.6,91.3,75.2,89.6,64
81.5,147.7,147.4,105.4,105.1,106.9,137.2,49.5,58,61.4
99.2,83.3,109.4,240.7,106.3,100.2,73.4,75.1,59.3,53.1
90.2,115.6,112.4,85.1,118.6,89.1,122.2,81.4,93.6,91.8
107,95.7,157.8,87.2,84.4,79,101.6,90.5,103.6,93.3
96.7,86.5,101.1,86.7,69.8,65.4,71.2,132.1,136.1,154.5
96.6,146.6,168.9,179.7,72.4,68.7,65.5,75.2,67.5,58.9
83.1,130.8,87.3,100,131.1,116.9,124.2,72.9,80.4,73.3
76,112.5,95.2,106.9,124.2,132.9,112.2,71.7,80.6,87.7
83.1,142.1,63.5,68,200,136.1,155.7,51,44.4,56.2
114.7,62.9,118.4,76.6,79.8,77.7,110.5,92,157,110.4
109.1,87.6,89.9,93.9,79.8,93.5,104,113.2,111.2,117.9
89.3,133.9,106.2,145.2,97.2,165,121.8,55.5,46.8,39
114.4,61.6,118.4,70.5,69.2,74.9,82.4,131.1,134.5,142.9
89.5,103.6,87.6,100.6,122.4,144.3,109.1,82.6,87.2,73.1
115.1,63.4,101.2,61.2,73.5,84.7,118.8,99,152.8,130.1
112.1,80.1,123.3,71.3,103.1,99.2,114.6,95.9,110.6,89.9
89.8,160.3,64.5,103.2,106.9,122.3,73.2,103.2,106.3,70.3
93.5,127.4,132.5,139.6,101.6,105,80.8,74.7,77.5,67.4
94,99,119.2,167.2,87.3,130.2,97.1,79.4,72.2,54.3
98.2,95.4,91.7,137.3,114.4,91.7,73,119.5,98.7,80.1
102.9,96,141.8,64.8,74.8,98.8,175.9,73.4,88.5,83
63.2,65.2,106.5,69.5,56.9,125,274,50.1,116.5,73.2
87.5,114.5,77.9,122,153.7,123.7,78.5,93.8,76.5,72
90.9,120,72.6,141.8,119,149.6,81.9,99.9,65,59.3
88.1,201.3,115.1,107.4,118,88.9,93.7,64.4,62.2,61
94.7,98.4,115.5,196.9,103.7,102.3,69.4,91.8,61.7,65.6
97.3,81.6,134.3,214.2,92.6,95.3,79.7,72.1,66.8,66.1
129.8,98.6,143.1,163.7,88.3,95.7,110.7,77.9,44.6,47.6
89.2,116.4,97.4,118.1,111.5,127,83.1,90.2,91.9,75.2
86.6,106.9,99.1,150.7,118.7,105.5,75.9,107.4,79.3,70
92.1,137.6,134.8,155.9,101,95.2,76.3,71.6,69.8,65.5
93,89.5,122.3,234.1,101.6,87.7,65.7,67.8,69.4,69
92.3,147.9,114,192,111,87,64,78.6,60.7,52.5
91.4,100.8,112.3,150.1,126.7,107.3,83,86.8,77.8,64
91.7,128.7,81.6,140.5,112.1,135.8,98,81.7,71.5,58.5
91.9,148.5,88.8,134.6,134.6,91.9,62.4,92,66.4,88.8
86.7,137.7,101.8,113.1,119.8,146.2,139.3,53.7,53.5,48.1
85.9,166.7,103.3,112.1,126.7,120.7,132.1,49.8,53.1,49.4
105.4,86.1,78.1,71.1,115,80.8,99,116.4,115.3,132.7
93.7,83.8,108.9,66.7,135.3,87.6,99.7,108.8,101.2,114.4
107.6,90.3,121,132.7,60.6,138.4,92.5,98.5,81,77.5
121.3,61.5,209.7,60.3,69.2,62.4,116.3,76.4,122.7,100.2
95,131.1,171.7,109.9,94.2,73.1,121.4,64.6,67.2,71.8
92.7,104.8,92.6,132.7,152,98,85,101.1,79.6,61.5
111,93.5,120.3,61.4,57.3,68,117.2,113.3,131.5,126.5
116.5,87.5,130.3,59.3,58,66.3,109,119,127.5,126.5
111.4,94.6,111.2,66.2,58.7,62.2,102.4,136.8,131.2,125.2
111.4,105.9,118.4,68.7,64.6,64,105.6,107.9,115.9,137.6
