"Abundance: 126, Control, Pool, n/a",Caput 1 (127N),Caput 2 (127C),Caput 3 (128N),Corpus 1 (128C),Corpus 2 (129N),Corpus 3 (129C),Cauda 1 (130N),Cauda 2 (130c),Cauda 1 (131)
90.9,112.6,177.2,158.9,85.7,105.4,93.3,59.6,58.8,57.6
102.4,98.4,86.9,101.2,92.3,98.6,83.5,128.3,102.8,105.6
89.4,219.7,149.6,205.6,45.1,79.2,65.9,53.7,51.3,40.5
105.9,90,110.8,87.6,96.8,88.5,99.5,88.3,123.1,109.5
115.9,54.2,40.2,42.5,104.8,99.6,111.4,125.1,153.4,152.9
104.2,87.5,122.6,152.4,75.2,91.4,84.1,107.7,90.3,84.6
106.1,102.7,117.2,74.1,106.3,65.7,98.5,84.8,122.2,122.3
50.9,156.9,88.4,136.6,171.4,133,134.8,47.7,43,37.1
94.4,82.7,61.4,85.3,113.1,102.5,68.8,157,133.5,101.4
94.8,119.6,102.2,154.1,96.8,97.9,70.9,113.7,80.8,69.2
92.5,60.1,54.5,84.9,140.7,173.6,109,113.4,93.5,77.9
78.2,144.7,113.8,203.6,93,134.1,82.8,63.6,51.1,35.1
94.9,74.1,113.8,100.2,68.8,110.2,105.2,117.7,106.3,108.8
107.2,65.8,87.4,65.7,98.5,117.1,119.3,119.3,109,110.6
85.8,149.9,120.3,174.6,89.4,122.2,90,66.3,53.9,47.7
103.7,123.2,54.9,96.3,91.6,109.3,96.3,100.2,126,98.4
105.8,59.6,106.1,162.8,59.7,125.3,76.5,120.6,95.5,88.1
98.7,104.4,89.5,76.4,130.2,89.7,103.4,107.1,102.1,98.5
108.9,85.3,78.2,70.6,105.1,79.5,98.5,131.1,121.1,121.8
83.8,182.5,103.9,134.2,126,102.6,99.5,60,62.3,45.1
90.4,78.5,72.1,245.9,57.9,190.1,90.7,75.8,54.2,44.2
94.3,88.4,78.9,63.4,140.7,114.9,98.5,111.1,123.9,86
93.9,113.4,78.2,111.9,92.8,118.9,109.9,98,89.6,93.2
103.8,89.5,65.1,68.4,149.5,113.8,88.9,96.8,101.2,123
95.8,96.8,65.5,71.8,138.1,155.9,95.7,105.5,91.2,83.7
109.6,34.2,32.7,29.6,121.4,132,79.2,196.7,119.5,145
101.9,98.1,103.6,74.7,144.6,93.2,105.8,71.7,111.9,94.6
105.8,77.9,81.2,63.6,112.6,93.3,90.4,100.9,144.5,129.6
53.8,173.2,58.9,176.5,142.6,134.8,74.4,52.2,90.8,42.8
95.3,71.6,41.2,45.6,152,141.2,94.4,119.8,106.6,132.3
140.6,31.6,31.5,37.6,71.1,61.4,46,167.3,174,238.7
91.5,86.3,81.9,228.1,113.7,120.6,68.3,82.3,74.8,52.5
108.9,65.2,53.2,56.2,77.1,73.7,56.9,178.5,150.5,179.7
99.2,68.6,58.9,42.5,160.6,93.3,116,112,116,132.9
121.1,87.8,58.6,65.1,124.3,84.7,74.1,106.2,103.9,174.3
101.9,93.4,170.3,130.5,71.9,119.6,106.6,77.3,66.6,61.9
105.5,98.2,141.4,83.4,84.5,91.1,124.9,84.8,93.3,92.8
99.3,61.8,76,80,100.9,126.2,104.6,146.9,100.7,103.6
87.7,119.7,111,104.4,160.9,106.2,110,70.7,68.6,60.8
92.3,123.6,141.3,105.8,127,104.4,107,66.4,65.2,67
93.5,118.7,137.4,154.4,114.8,91.7,83.4,80.3,64.4,61.5
116,85.5,145.5,89.8,82.7,93.4,92.5,94.7,97.5,102.4
100.4,105.3,77.1,94,127.8,120.8,82.6,96.9,99.4,95.5
91.3,80.2,95.2,254.6,77,117.3,69.4,87.7,74.9,52.3
95.2,87,87.2,176.8,83.2,149.9,87,91.7,76.2,65.7
95.8,124.7,89.1,109.6,97.5,113.6,87,110.9,79.7,92.1
104.7,64.6,88.3,107.7,92.8,119.6,85.9,169,86.9,80.5
89.2,99.2,132.8,106,80.5,97.4,100.6,122.4,90.4,81.6
100,95.7,87.2,82,105.8,83,95.5,111.1,109.3,130.4
111.6,73,62.9,86.1,72.1,103.2,78.6,194.5,145.1,72.8
92.4,88.2,79.7,139.1,143.4,149.4,88.4,87,64.4,68.1
86.3,115.9,94.6,84.2,160.3,142,114,68.3,58.6,75.8
86.3,192.4,162.2,171.3,104.3,85.4,103,34.6,33.3,27.2
90.2,115.6,80,101.5,138.3,131.3,136.2,84.1,67.5,55.4
92.4,127.7,75.9,90.8,152.6,134.8,119.7,83.4,65.3,57.4
90.9,176.4,112,113.9,108.8,80.2,114.1,82.6,71.6,49.6
