Intensity,Intensity L,Intensity H,Intensity A,Intensity L A,Intensity H A,Intensity B,Intensity L B,Intensity H B
994560000,563110000,431460000,803850000,469850000,334000000,190710000,93254000,97458000
187650000,88098000,99548000,NA,NA,NA,187650000,88098000,99548000
17124000,10029000,7095100,17124000,10029000,7095100,NA,NA,NA
3822700000,2398400000,1424300000,2092700000,1351900000,740810000,1730000000,1046500000,683480000
2.11E+11,1.27E+11,83334000000,1.16E+11,69750000000,46559000000,94204000000,57429000000,36775000000
5619000,3929300,1689600,5619000,3929300,1689600,NA,NA,NA
115930000,89946000,25979000,NA,NA,NA,115930000,89946000,25979000
557440000,338300000,219140000,246840000,164980000,81858000,310600000,173320000,137280000
1200500000,682960000,517500000,788270000,405640000,382620000,412200000,277320000,134880000
10915000000,5806700000,5107900000,7102500000,3269700000,3832800000,3812000000,2536900000,1275100000
4211300000,2817800000,1393500000,2788900000,2196900000,592090000,1422300000,620910000,801420000
288610000,192760000,95855000,141980000,78961000,63017000,146630000,113800000,32838000
75809000,54781000,21028000,NA,NA,NA,75809000,54781000,21028000
100810000,70289000,30518000,63523000,40401000,23123000,37283000,29888000,7395200
5327900000,2699100000,2628800000,3056000000,1637700000,1418300000,2271900000,1061400000,1210500000
NA,NA,NA,NA,NA,NA,NA,NA,NA
168880000,103850000,65027000,93203000,51578000,41625000,75676000,52274000,23403000
NA,NA,NA,NA,NA,NA,NA,NA,NA
15930000000,9379400000,6550900000,10300000000,5688200000,4611800000,5630300000,3691200000,1939100000
74113000,57814000,16298000,NA,NA,NA,74113000,57814000,16298000
569240000,461770000,107470000,489910000,435820000,54093000,79331000,25950000,53381000
477280000,326420000,150860000,388970000,248910000,140060000,88309000,77513000,10796000
22117000000,13436000000,8681000000,12038000000,8201100000,3837400000,10078000000,5234800000,4843600000
21883000000,13150000000,8732200000,11135000000,7809400000,3326000000,10747000000,5341000000,5406200000
75653000,51393000,24260000,NA,NA,NA,75653000,51393000,24260000
144700000,111780000,32924000,NA,NA,NA,144700000,111780000,32924000
624500000,410660000,213830000,418170000,285010000,133160000,206320000,125660000,80668000
546870000,320820000,226050000,272350000,118140000,154210000,274520000,202680000,71840000
5776200000,3670700000,2105600000,3017300000,1853800000,1163500000,2759000000,1816900000,942070000
50868000000,31072000000,19796000000,28380000000,17936000000,10444000000,22489000000,13136000000,9352900000
124640000,78740000,45896000,61311000,52588000,8723400,63325000,26152000,37172000
322700000,211800000,110900000,76253000,43058000,33195000,246450000,168740000,77707000
1645000000,955400000,689560000,753820000,413750000,340070000,891140000,541650000,349490000
811670000,582670000,229000000,289460000,113550000,175910000,522210000,469120000,53090000
91078000,71353000,19725000,91078000,71353000,19725000,NA,NA,NA
65303000,31600000,33703000,NA,NA,NA,65303000,31600000,33703000
821700000,520570000,301130000,401380000,286290000,115090000,420320000,234280000,186040000
25447000000,13986000000,11461000000,10935000000,5665900000,5269100000,14512000000,8319700000,6191900000
18561000,10125000,8436600,5265500,3583800,1681700,13296000,6541000,6755000
398370000,220870000,177500000,245680000,123570000,122110000,152690000,97305000,55388000
1431300000,850830000,580450000,720130000,374930000,345210000,711150000,475910000,235240000
NA,NA,NA,NA,NA,NA,NA,NA,NA
3655600000,2752500000,903050000,2559800000,2254300000,305520000,1095800000,498250000,597530000
1937400000,1055800000,881540000,582280000,471740000,110540000,1355100000,584100000,771000000
106950000,77342000,29604000,61313000,50159000,11154000,45632000,27182000,18450000
673540000,416400000,257140000,511110000,298350000,212750000,162430000,118040000,44385000
11674000,8253400,3421000,11674000,8253400,3421000,NA,NA,NA
434840000,305890000,128950000,279710000,265120000,14595000,155130000,40769000,114360000
10873000,9341300,1531600,10873000,9341300,1531600,NA,NA,NA
34037000000,20122000000,13915000000,17315000000,9862000000,7452600000,16723000000,10260000000,6462800000
67564000,47144000,20419000,67564000,47144000,20419000,NA,NA,NA
166150000,103160000,62987000,106100000,54014000,52085000,60048000,49146000,10902000
33353000000,21538000000,11815000000,17677000000,10548000000,7128800000,15676000000,10990000000,4685800000
NA,NA,NA,NA,NA,NA,NA,NA,NA
25835000,25835000,NA,25835000,25835000,NA,NA,NA,NA
1311300000,833340000,477980000,546970000,297910000,249060000,764350000,535430000,228920000
77053000,62062000,14991000,41956000,36141000,5814900,35097000,25921000,9176300
4071600000,2855100000,1216500000,1381600000,641150000,740420000,2690000000,2213900000,476060000
14506000,13410000,1096000,NA,NA,NA,14506000,13410000,1096000
NA,NA,NA,NA,NA,NA,NA,NA,NA
89027000,56173000,32854000,89027000,56173000,32854000,NA,NA,NA
1316500000,1235900000,80560000,NA,NA,NA,1316500000,1235900000,80560000
171290000,128740000,42544000,171290000,128740000,42544000,NA,NA,NA
4452900000,3364900000,1088100000,1343500000,672800000,670740000,3109400000,2692100000,417340000
6422200000,3948300000,2473900000,3967500000,2514100000,1453400000,2454700000,1434200000,1020500000
1043500000,700180000,343350000,802390000,622200000,180190000,241140000,77981000,163160000
NA,NA,NA,NA,NA,NA,NA,NA,NA
819270000,445890000,373390000,570230000,284220000,286010000,249050000,161670000,87375000
NA,NA,NA,NA,NA,NA,NA,NA,NA
152610000,105000000,47612000,113910000,80383000,33525000,38702000,24615000,14087000
812600000,486290000,326300000,319440000,205560000,113880000,493160000,280740000,212420000
365400000,201650000,163740000,295510000,147960000,147550000,69888000,53697000,16191000
5708900000,3738100000,1970700000,4002200000,3252700000,749460000,1706700000,485410000,1221300000
