Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
4.376989,4.692396,2.901602,0.1853008,3.816416,3.165546,2.882542,3.997156,3.766699,2.662981,3.56419
2.119425,2.693804,1.638838,0.1853008,3.042604,2.242399,1.402971,2.740246,2.537939,1.66625,2.118664
0.3372669,1.025723,-2.741672,0.1853008,0.1699009,-1.315687,-1.86014,0.3049393,0.03253174,-4.259079,-0.7114239
-2.611303,-3.359022,-3.086602,0.1853008,-3.662711,-2.99218,-3.324411,-0.8527927,-2.636103,-2.832247,-3.372331
-0.5029488,-0.06343269,-1.030809,0.1853008,-0.03809929,-0.8348198,-0.982338,-0.5275326,-0.1545277,-1.171066,-0.4155159
2.382177,2.986687,1.294651,0.1853008,3.027119,1.926796,1.774488,2.961849,2.797489,1.540747,2.564278
0.6050625,1.314028,-0.3459473,0.1853008,1.148348,0.3947773,-0.1693993,1.480881,1.021589,-1.006512,0.5549774
-2.556862,-1.861374,-3.488847,0.1853008,-0.1983871,-3.523265,-3.49649,-1.880767,-2.698534,-3.37876,-3.640777
-2.574382,-1.051109,-3.586619,0.1853008,-0.8061256,-1.743143,-2.75904,-3.313124,-1.430807,-1.768318,-2.332469
-1.586929,-0.5455647,-2.447219,0.1853008,-0.6462631,-0.8391399,-3.316705,-1.151506,-0.8288174,-1.230728,-1.628519
1.667122,2.020695,0.4117775,0.1853008,2.424608,1.579439,1.091204,2.446108,2.24378,0.928524,1.65222
4.277193,4.681166,2.761072,0.1853008,4.64889,3.8451,3.140219,4.725674,4.413494,2.742773,3.600231
1.338318,1.049648,0.3680534,0.1853008,0.8376083,0.5649624,0.5916691,0.835144,0.7809124,0.2962036,0.8038712
3.937153,4.066532,1.419022,0.1853008,3.786024,2.900141,2.580667,3.671154,3.512466,2.436289,2.678858
-1.845291,-1.009155,-2.980364,0.1853008,-1.179644,-2.99105,-3.508683,-1.232645,-1.282669,-2.425022,-1.908003
1.405474,1.506033,1.071941,0.1853008,1.557154,1.249969,1.042608,1.522366,1.58066,0.8507462,1.303471
-1.50164,-1.21739,-2.861642,0.1853008,-1.292768,-1.325695,-2.403138,-1.47191,-1.346664,-1.568251,-1.56506
0.6234417,0.5868397,0.06466675,0.1853008,1.197149,0.6027298,0.0290966,0.6902561,0.7944374,0.3196049,0.3842659
3.562288,3.850485,1.940125,0.1853008,3.320337,2.451283,2.531666,3.575037,3.729053,1.863321,2.791477
0.2310886,0.627737,-3.852939,0.1853008,-2.60148,-3.574829,-3.945889,-0.5934715,-0.446434,-2.97384,-3.545741
-0.6605587,0.1751671,-1.746361,0.1853008,-0.3901119,-0.6286411,-1.483974,-0.7391624,-0.1133556,-1.539524,-0.7127514
-0.4468021,-0.472723,-1.900547,0.1853008,0.1772118,-1.083717,-2.165715,0.2695351,0.2555828,-1.068188,-0.8015709
2.909981,3.463926,2.379869,0.1853008,3.625456,2.495321,1.95282,3.037558,2.939127,2.476076,2.747976
-1.185436,-0.7437725,-2.727841,0.1853008,-0.2977371,-2.72263,-3.48893,-0.9798546,-1.107927,-3.949217,-0.8127861
1.635,1.972399,0.6471958,0.1853008,1.505342,1.233646,0.5014038,1.907135,1.532885,0.1708145,1.217995
-0.5203705,0.05875015,-0.7438126,0.1853008,-0.4136391,-0.4901142,-1.026068,-0.6971893,-0.2663879,-0.5869179,-0.5411835
-2.32805,-2.729687,-2.776131,0.1853008,-2.31583,-3.024712,-2.967579,-2.039516,-2.992167,-3.131995,-3.542867
-3.446255,-2.025272,-2.493503,0.1853008,-1.10429,-0.7783298,-0.7810459,-2.691526,-2.722545,-1.169764,-1.195034
0.1950092,-0.5060787,-0.1095676,0.1853008,-0.5010586,0.3131599,0.207243,-0.7541008,-0.409132,0.5302048,0.1263657
3.382132,1.854765,3.326088,0.1853008,2.374817,3.600641,3.404333,2.419264,2.627329,4.105803,2.807337
-1.347191,-2.666084,-1.794485,0.1853008,-1.769339,-0.8896675,-1.155378,-2.197227,-2.843456,-0.0505085,-2.008211
-2.157804,-2.839012,-2.047443,0.1853008,-3.901914,-1.441893,-1.669521,-2.393357,-3.187594,-1.627481,-3.288063
-2.678822,-2.621221,-2.466176,0.1853008,-3.340004,-1.532423,-2.874812,-3.670502,-3.679754,-1.296394,-2.711813
-1.963707,-1.756142,-1.161085,0.1853008,-1.978235,-1.176647,-1.472836,-2.106262,-1.769499,-0.9999409,-1.701944
-1.953764,-2.289728,-1.425375,0.1853008,-1.089363,-0.3983173,-0.7434368,-1.955273,-1.606758,-0.4002571,-1.126261
-1.551373,-2.739744,-0.9075508,0.1853008,-2.06609,-0.6973,-1.170994,-2.788952,-2.045031,-0.5188656,-1.574379
0.08524323,-0.8485203,0.2215538,0.1853008,-0.6618557,0.3768444,0.1594505,-1.046103,-0.5219383,0.8788033,0.4338551
-1.326317,-3.231849,-1.213831,0.1853008,-3.640976,-0.9480495,-1.340984,-3.097373,-2.996238,-1.0693,-2.382846
1.250767,-0.4841175,0.7050571,0.1853008,0.3783646,1.645903,1.381186,0.1804161,0.390173,1.84519,0.8233566
3.581741,3.352274,4.457865,0.1853008,3.950411,5.10605,5.037268,2.535042,4.164057,5.162483,4.197836
-1.800962,-3.21874,-0.9696045,0.1853008,-4.181862,-1.789351,-1.6478,-3.022591,-3.636243,-2.800127,-1.80962
-1.205996,-2.871527,-1.28092,0.1853008,-3.169062,-0.9185181,-1.097681,-2.434046,-3.579432,-0.4553661,-0.6935005
-1.142405,-1.478165,-0.5006008,0.1853008,-1.36725,-0.5005512,-0.7466698,-2.108036,-1.838541,-0.1389999,-0.5670357
0.1590214,0.4248028,0.4351521,0.1853008,0.5856819,0.9580078,0.807333,0.05959511,0.7228565,1.154926,0.7500401
-1.182907,-3.112976,-1.328951,0.1853008,-1.815886,-0.1402435,-0.07016373,-2.798168,-2.925678,-0.2886009,-1.895489
-0.6545086,-1.048786,-2.948161,0.1853008,-2.581107,-0.516119,-2.717218,-2.805586,-2.450524,0.1136036,-3.3609
-4.118475,-2.664124,-2.838229,0.1853008,-3.174015,-1.841372,-2.599614,-3.139843,-2.751862,-1.705505,-3.015193
-0.3485184,-0.9302578,0.4116192,0.1853008,-0.6014099,0.6362514,0.5383949,-1.116472,-0.494997,0.3195648,-0.039114
-3.298194,-3.234962,-2.486223,0.1853008,-3.47963,-1.716322,-3.902811,-3.134279,-2.872085,-1.105659,-2.637146
-3.366382,-2.203365,-3.367102,-3.713016,-3.746906,-1.107315,-2.835758,-2.827181,-3.424565,-0.09565926,-4.235023
-1.208839,-1.434248,-0.5954342,0.1853008,-1.612114,-0.2235737,-0.6934547,-1.491657,-1.389277,-0.5813885,-0.5458736
-1.888741,-3.616814,-3.6282,0.1853008,-3.127955,-0.9513531,-3.102976,-3.067,-3.272178,-1.904688,-2.439265
3.32826,3.318357,3.813278,0.1853008,3.18289,3.781265,3.65309,2.765528,3.106081,3.823566,3.501354
4.177588,4.070189,4.397982,0.1853008,4.183245,4.499865,4.886145,4.13982,4.121302,4.658636,4.514507
-0.5916691,-0.6799088,-0.2144547,0.1853008,-0.2985916,-0.238081,-0.1786289,-0.5358963,-0.8760891,-0.2346363,-0.06157112
-1.898949,-2.935526,-1.169321,0.1853008,-1.460543,0.2175999,-0.3206673,-1.530476,-1.184969,0.2774162,-1.288952
-3.636013,-2.687425,-0.2721348,0.1853008,-0.9351902,0.8147945,-0.01294518,-3.027812,-0.8864021,0.2083645,-0.7871876
-0.9784222,-2.959546,-2.035406,0.1853008,-1.621023,-0.6015491,-2.493604,-1.303728,-1.910246,-0.7168674,-3.59273
-2.791839,-3.265543,-3.244303,0.1853008,-3.421232,-2.054802,-2.457178,-2.534017,-3.174227,-1.958279,-3.274727
1.397137,1.136927,1.647898,0.1853008,1.307827,1.81278,1.557364,1.129459,1.247097,1.631359,1.806177
-3.29283,-2.878856,-2.399111,0.1853008,-3.336279,-2.346792,-2.34075,-2.286567,-3.2322,-2.435733,-1.941376
-2.620407,-0.9450607,0.1977215,0.1853008,-3.624917,-0.6504898,-0.7024651,-2.971521,-3.264452,-1.019741,-0.5318871
-3.60692,-3.553744,-1.643595,0.1853008,-3.103994,-0.4135628,0.1678123,-2.529881,-2.62849,-0.01303864,-1.18364
-3.057833,-2.892057,-2.850911,0.1853008,-3.670643,0.5299568,-0.01418877,-2.727373,-3.077027,-0.3016415,-3.44478
-0.02986145,-1.694965,-0.08310699,0.1853008,-0.5757904,1.022209,0.5611801,-0.8877468,-0.4490337,0.6574764,-0.3221245
-0.6373501,-1.25272,0.3650589,0.1853008,-1.095348,0.2182083,0.50037,-1.976339,-0.58601,0.5113068,-0.2914143
3.870275,3.561844,3.974642,0.1853008,3.649799,4.116301,3.890259,3.301792,3.392504,4.246523,4.01033
1.426508,0.8626709,1.869534,0.1853008,1.224403,1.652523,1.495564,0.7324162,1.158197,1.988239,2.150126
