LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48
-0.02297385,-0.33851938,-0.04242145,0.13010152,0.0301997,-0.01436212,0.05025109,-0.34111994,-0.07174096,0.10441816,0.24649643,0.2492479
0.17810238,-0.45867868,-0.47847852,-0.10156546,0.20089716,0.26117313,-0.01811129,-0.4768225,-0.37539244,0.034273,0.30318223,0.48663317
-0.05063686,-0.32846128,-0.07003523,0.08310543,0.14526502,0.08493946,-0.08553564,-0.24633712,-0.14839635,0.09502468,0.19195071,0.21079869
0.05117386,-0.34974697,-0.07885586,-0.08899089,0.15921315,0.05153234,-0.02317838,-0.45725911,-0.116337,0.18510184,0.33946221,0.069272
0.24334133,-0.51223446,-0.34773121,0.20178529,0.20981444,0.10848425,0.17417492,-0.41245189,-0.44232386,0.12246503,0.16400176,0.14326111
0.17823157,-0.56080156,-0.26736772,0.03590933,0.2357356,0.09540892,0.01085437,-0.42461488,-0.23666487,0.15421384,0.23505846,0.26427384
-0.32444263,0.49896585,0.16923321,-0.08982192,-0.56912481,-0.6255883,-0.16496913,0.65332029,0.30508544,0.14355214,-0.90947796,-0.46499879
0.17381898,-0.45296685,0.0656326,0.09245138,0.07500987,-0.04153155,-0.01014727,-0.37760027,-0.0435143,0.15475977,0.1427895,0.13179065
-0.36570334,0.02066569,0.29826234,0.03558676,-0.12696171,-0.28618733,-0.24266029,0.06154331,0.55501533,0.07237032,-0.23333655,-0.10599415
-0.55678362,0.40075629,0.51033433,-0.13241965,-0.43184877,-0.52027758,-0.34813287,0.59394935,0.5939198,0.07575153,-0.97747701,-0.52195081
0.31293487,-0.56215536,-0.37325582,0.04711691,0.28027628,0.21778114,0.06876576,-0.46769347,-0.30820649,0.10457435,0.15349594,0.16107506
-0.33154657,0.13923295,0.11107156,0.12920566,-0.24687312,-0.42553673,-0.45275399,0.01723177,0.32597584,0.40858594,-0.02881094,-0.34843984
0.18968874,0.12665922,0.12502117,-0.24972687,-0.20776174,-0.0573196,0.01709187,0.16474311,0.02051835,-0.31722468,-0.37927902,0.00799899
0.0968551,0.03941029,-0.16951516,0.03493742,0.12892724,-0.10105307,0.12562331,0.05287552,-0.27949401,0.00359073,-0.01579994,-0.14737738
-0.02594419,-0.07657912,-0.14981152,-0.04380683,0.08873176,0.09807543,0.01963035,-0.06663048,-0.21560508,-0.00157036,0.20742131,0.2907004
-0.03097169,-0.19649647,-0.06454252,-0.04524948,-0.05740903,-0.01940328,0.04512902,-0.18690634,0.07530263,-0.03384027,0.06307488,0.31588594
-0.22806924,-0.09519376,0.09658193,-0.00068217,-0.05176437,-0.00842582,-0.1622149,-0.13813245,0.27581105,0.09811866,-0.05626695,0.22828259
-0.36421133,0.53368641,-0.00792231,0.03069853,-0.35500869,-0.47221552,0.06109992,0.73411029,-0.0911931,-0.00723865,-0.50090272,-0.40832926
0.00669573,-0.39728914,-0.20091759,0.00325394,0.1391949,0.14392305,0.05079741,-0.20317798,-0.18900146,0.07983359,0.10593058,0.32597702
0.12755339,-0.19727215,-0.35208619,0.00487152,0.16562492,0.05845905,0.03027811,-0.14863135,-0.32550483,0.11611856,0.07749083,0.25715385
0.13764548,-0.1471808,-0.27148505,0.08181936,0.04734434,0.13145762,0.04138065,-0.13326904,-0.29725158,0.00268763,0.21086752,0.13705336
0.08959472,-0.30555611,-0.26030906,0.08445366,0.19933538,0.15621777,0.10015444,-0.29110774,-0.13164174,0.07741879,0.17818697,-0.06378647
